No.;Nombre archivo;Fecha;Titular;Periodico;Fecha Periodico;URL;Derecho PPal;Otros Derechos;SubDerechos;EP
1;EN  (07.10.2018)   2.10.1.  3.1.1..pdf;07.10.2018;Lo que se ignoró al regular el precio de la carne;EN;7/10/2018;http://www.el-nacional.com/noticias/economia/que-ignoro-regular-precio-carne_254301;2.10;3.1;2.10.1, 3.1.1;NO
2;EN   (06.12.2018)    EP   2.8.1..pdf;06.12.2018;Comunidades de Trujillo protestan por falta de gas desde hace cuatro meses;EN;6/12/2018;http://www.el-nacional.com/noticias/protestas/comunidades-trujillo-protestan-por-falta-gas-desde-hace-cuatro-meses_262344;2.8;;2.8.1;SI
3;EN  (08.10.2018)    EP   2.3.4..pdf;08.10.2018;Trabajadores de la UCV protestaron por incumplimiento de contrato colectivo;EN;8/10/2018;http://www.el-nacional.com/noticias/protestas/trabajadores-ucv-protestaron-por-incumplimiento-contrato-colectivo_254835;2.3;;2.3.4;SI
4;EN   (05.12.2018)   EP   2.8.1..pdf;05.12.2018;Vecinos de Santa Elena en Mérida protestaron por falta de gas doméstico;EN;5/12/2018;http://www.el-nacional.com/noticias/protestas/vecinos-santa-elena-merida-protestaron-por-falta-gas-domestico_262200;2.8;;2.8.1;SI
5;EU   (20.11.2018)    1.10.2.1..pdf;20.11.2018;ANC designó a Alfredo Ruíz como defensor del Pueblo;EU;20/11/2018;http://www.eluniversal.com/politica/26292/anc-designo-a-alfredo-ruiz-como-nuevo-defensor-del-pueblo;1.10;;1.10.2.1;NO
6;EU  (06.10.2018) CONTEXTO EP.pdf;06.10.2018;Solicitan que EEUU levante las sanciones y el bloqueo;EU;6/10/2018;http://www.eluniversal.com/politica/22485/solicitan-que-eeuu-levante-las-sanciones-y-el-bloqueo;CONTEXTO;;;SI
7;EN (22.09.2018) 2.1.1.   Rocío San Miguel_ Consejos comunales _escogerán_ pacientes del buque chino.pdf;22.09.2018;"Rocío San Miguel: Consejos comunales ""escogerán"" pacientes del buque chino";EN;23/9/2018;http://www.el-nacional.com/noticias/politica/rocio-san-miguel-consejos-comunales-escogeran-pacientes-del-buque-chino_252875;2.1;;2.1.1;NO
8;EN  (11.10.2018)  1.1.1.9 EP.pdf;11.10.2018;Vecinos de San Agustín protestaron por el asesinato de un niño de 12 años;EN;11/10/2018;http://www.el-nacional.com/noticias/sociedad/vecinos-san-agustin-protestaron-por-asesinato-nino-anos_255391;1.1;;1.1.1.9;SI
9;EN  (01.12.2018)   1.2.2..pdf;01.12.2018;Efe: Las condiciones de los detenidos de Pdvsa en “La Tumba”;EN;1/12/2018;http://www.el-nacional.com/noticias/presos-politicos/efe-las-condiciones-los-detenidos-pdvsa-tumba_261765;1.2;;1.2.2;NO
10;EN   (09.10.2018)  EP   2.3.4.   2.1.1..pdf;09.10.2018;Trabajadores “revolucionarios” protestan en Ciudad Guayana;EN;9/10/2018;http://www.el-nacional.com/noticias/protestas/trabajadores-revolucionarios-protestan-ciudad-guayana_254985;2.3;2.1;2.3.4, 2.1.1;SI
11;EN (16.09.2018) CONTEXTO  Grupo de Lima rechazó intervención militar en Venezuela.pdf;16.09.2018;Grupo de Lima rechazó intervención militar en Venezuela;EN;16/9/2018;http://www.el-nacional.com/noticias/latinoamerica/grupo-lima-rechazo-intervencion-militar-venezuela_251926;CONTEXTO;;;NO
12;EN  (16.10.2018) 4.3 EP.pdf;16.10.2018;Ciudadanos protestaron tres veces más que en septiembre de 2017;EN;17/10/2018;http://www.el-nacional.com/noticias/protestas/ciudadanos-protestaron-tres-veces-mas-que-septiembre-2017_255907;4.3;;;SI
13;EN  (27.09.2018) EP    2.8.1.    Reportan cierre en la carretera Panamericana por protesta vecinal.pdf;27.09.2018;Reportan cierre en la carretera Panamericana por protesta vecinal;EN;27/9/2018;http://www.el-nacional.com/noticias/protestas/reportan-cierre-carretera-panamericana-por-protesta-vecinal_253428;2.8;;2.8.1;SI
14;EN   (03.12.2018)   1.3.1.  1.2.2..pdf;03.12.2018;Ana María Dacosta denunció tortura contra Jofran Quintero;EN;3/12/2018;http://www.el-nacional.com/noticias/presos-politicos/ana-maria-dacosta-denuncio-tortura-contra-jofran-quintero_261934;1.3;1.2;1.3.1, 1.2.2;NO
15;EN    (20.11.2018)   1.1.1.3.   1.10.1.      1.2.2..pdf;20.11.2018;Abogado de la familia: “Actas del caso Albán dicen que fue homicidio”;EN;20/11/2018;http://www.el-nacional.com/noticias/politica/abogado-familia-actas-del-caso-alban-dicen-que-fue-homicidio_260366;1.1;1.10, 1.2;1.1.1.3, 1.10.1, 1.2.2;NO
16;EN    (06.12.2018)   1.1.1.9.   1.10.1..pdf;06.12.2018;Detuvieron a ocho funcionarios de la CPNB por homicidio en El Valle;EN;6/12/2018;http://www.el-nacional.com/noticias/sucesos/detuvieron-ocho-funcionarios-cpnb-por-homicidio-valle_262324;1.1;1.10;1.1.1.9, 1.10.1;NO
17;EN  (07.10.2018)  CONTEXTO.pdf;07.10.2018;Ortega Díaz propone al Parlamento realizar enmienda constitucional;EN;7/10/2018;http://www.el-nacional.com/noticias/politica/ortega-diaz-propone-parlamento-realizar-enmienda-constitucional_254698;CONTEXTO;;;NO
18;EN  (10.10.2018)   EP   2.8.1..pdf;10.10.2018;Habitantes de Maracaibo protestan por tener 10 días sin luz;EN;10/10/2018;http://www.el-nacional.com/noticias/protestas/habitantes-maracaibo-protestan-por-tener-dias-sin-luz_255200;2.8;;2.8.1;SI
19;EN  (17.10.2018)   EP  2.1.1.   2.3.4..pdf;17.10.2018;Médicos exigen que se respete el contrato colectivo;EN;17/10/2018;http://www.el-nacional.com/noticias/salud/medicos-exigen-que-respete-contrato-colectivo_256074;2.1;2.3;2.1.1, 2.3.4;SI
20;EN   (18.10.2018)   CONTEXTO.pdf;18.10.2018;Retenidos al menos 15 “garimpeiros” del río Guaire por PNB;EU;18/10/2018;http://www.eluniversal.com/sucesos/4672/retenidos-menos-garimpeiros?-guaire;CONTEXTO;;;NO
21;EN (16.09.2018)  2.10.1.1.  69_ de los alimentos CLAP provienen de Turquía.pdf;16.09.2018;69% de los alimentos CLAP provienen de Turquía;EN;16/9/2018;http://www.el-nacional.com/noticias/economia/los-alimentos-clap-provienen-turquia_251966;2.10;;2.10.1.1;NO
22;EU    (20.11.2018)   EP   12..pdf;20.11.2018;Frente Amplio Nacional: Más de 1.700 propuestas se concretaron en congresos regionales;EU;20/11/2018;http://www.eluniversal.com/politica/26262/frente-amplio-nacional-mas-de-1739-propuestas-se-concretaron-en-congresos-regionales;12;;;SI
23;EN (17.09.2018) 3.2.1.   Denuncian que calles de Candelaria amanecieron con montañas de basura.pdf;17.09.2018;Denuncian que calles de Candelaria amanecieron con montañas de basura;EU;17/9/2018;http://www.eluniversal.com/caracas/20786/denuncian-que-calles-de-candelaria-amanecieron-con-montanas-de-basura;3.2;;3.2.1;NO
24;EN   (01.12.2018)    2.1.1..pdf;01.12.2018;Denuncian que escasez de antirretrovirales en Venezuela es de 95%;EN;1/12/2018;http://www.el-nacional.com/noticias/crisis-humanitaria/denuncian-que-escasez-antirretrovirales-venezuela_261799;2.1;;2.1.1;NO
25;EN   (28.11.2018) 2.1.1..pdf;28.11.2018;Madre venezolana: Estoy muy contenta porque en el buque operaron a mi hija;EN;28/11/2018;http://www.el-nacional.com/noticias/sociedad/madre-venezolana-estoy-muy-contenta-porque-buque-operaron-hija_261317;2.1;;2.1.1;NO
26;EN  (29.09.2018) 1.7  EP.pdf;29.09.2018;Gobierno incrementa persecución a periodistas;EN;29/9/2018;http://www.el-nacional.com/noticias/politica/gobierno-incrementa-persecucion-periodistas_253532;1.7;;;SI
27;EN   (05.12.2018)  18.  5.   12.1.3.pdf;05.12.2018;ONG denunciaron las detenciones arbitrarias en Venezuela ante la CIDH;EN;5/12/2018;http://www.el-nacional.com/noticias/politica/ong-denunciaron-las-detenciones-arbitrarias-venezuela-ante-cidh_262245;18;5, 12;12.1.3;NO
28;EU   (29.09.2018)  1.2.1.  1.3.2..pdf;29.09.2018;"Guanipa denunció que estuvo detenido este sábado de manera ""irregular""";EU;29/9/2018;http://www.eluniversal.com/politica/21943/guanipa-responsabilizo-al-gobierno-tras-ser-detenido-este-sabado;1.2;1.3;1.2.1, 1.3.2;NO
29;EU   (20.11.2018)    2.10.1..pdf;20.11.2018;Canasta Alimentaria de octubre se ubicó en Bs.S 52.322,32;EU;20/11/2018;http://www.eluniversal.com/economia/26207/canasta-alimentaria-de-octubre-se-ubico-en-bss-5232232;2.10;;2.10.1;NO
30;EN  (03.10.2018)   2.1.1..pdf;03.10.2018;Tasa de mortalidad infantil en Venezuela incrementó durante el año 2017;EN;3/10/2018;http://www.el-nacional.com/noticias/crisis-humanitaria/tasa-mortalidad-infantil-venezuela-incremento-durante-ano-2017_254097;2.1;;2.1.1;NO
31;EU   (17.10.2018)   CONTEXTO.pdf;17.10.2018;"Nueva plataforma plantea ""proteger la Constitución""";EU;17/10/2018;http://www.eluniversal.com/politica/23393/nueva-plataforma-plantea-proteger-la-constitucion;CONTEXTO;;;NO
32;EN (21.09.2018)  EP  2.8.1.    Vecinos de Chacao salieron a protestar por falta de agua.pdf;21.09.2018;Vecinos de Chacao salieron a protestar por falta de agua;EN;21/9/2018;http://www.el-nacional.com/noticias/sociedad/vecinos-chacao-salieron-protestar-por-falta-agua_252692;2.8;;2.8.1;SI
33;EN  (05.12.2018)   EP   2.2.1..pdf;05.12.2018;Protestaron frente a la ULA para exigir respeto por autonomía universitaria;EN;5/12/2018;http://www.el-nacional.com/noticias/protestas/protestaron-frente-ula-para-exigir-respeto-por-autonomia-universitaria_262204;2.2;;2.2.1;SI
34;EN   (15.11.2018)   EP   2.8.1..pdf;15.11.2018;Comunidades de Palevecino en Lara protestan por falta de gas;EN;15/11/2018;http://www.el-nacional.com/noticias/protestas/comunidades-palevecino-lara-protestan-por-falta-gas_259839;2.8;;2.8.1;SI
35;EN   (19.11.2018)   EP   2.8.1..pdf;19.11.2018;Vecinos de la avenida Baralt protestaron por falta de agua;EN;20/11/2018;http://www.el-nacional.com/noticias/protestas/vecinos-avenida-baralt-protestaron-por-falta-agua_260351;2.8;;2.8.1;SI
36;EN   (13.11.2018)   1.2.2.   1.10.1..pdf;13.11.2018;Dictaron privativa de libertad para presidente de la FCU de la UC;EN;13/11/2018;http://www.el-nacional.com/noticias/politica/dictaron-privativa-libertad-para-presidente-fcu_258954;1.2;1.10;1.2.2, 1.10.1;NO
37;EN   (05.10.2018)   EP    2.8.1..pdf;05.10.2018;Vecinos de Santa Rosalía protestaron por estar 15 días sin luz;EN;5/10/2018;http://www.el-nacional.com/noticias/servicios/vecinos-santa-rosalia-protestaron-por-estar-dias-sin-luz_254494;2.8;;2.8.1;SI
38;EN   (20.11.2018)    2.3.4..pdf;20.11.2018;El gobierno emite resolución para eliminar los contratos colectivos;EN;20/11/2018;http://www.el-nacional.com/noticias/economia/gobierno-emite-resolucion-para-eliminar-los-contratos-colectivos_260363;2.3;;2.3.4;NO
39;EN   (14.11.2018)  CONTEXTO   19..pdf;14.11.2018;La AN declara inconstitucional toma de posesión de Maduro en enero;EN;14/11/2018;http://www.el-nacional.com/noticias/asamblea-nacional/declara-inconstitucional-toma-posesion-maduro-enero_259666;CONTEXTO;19;;NO
40;EN   (01.12.2018)   2.10.1..pdf;01.12.2018;Encovi: Cantidad de hogares pobres en Venezuela aumentó 48% en 2018;EN;1/12/2018;http://www.el-nacional.com/noticias/sociedad/encovi-cantidad-hogares-pobres-venezuela-aumento-2018_261657;2.10;;2.10.1;NO
41;EN  (16.10.2018)   EP   2.3.4..pdf;16.10.2018;Trabajadores de Sidor protestan en Bolívar por pago de contratos colectivos;EN;17/10/2018;http://www.el-nacional.com/noticias/protestas/trabajadores-sidor-protestan-bolivar-por-pago-contratos-colectivos_255938;2.3;;2.3.4;SI
42;EU    (01.12.2018)    2.10.1..pdf;01.12.2018;Ocupados 21 mataderos para evitar tráfico de carne;EU;1/12/2018;http://www.eluniversal.com/economia/27169/ocupados-21-mataderos-para-evitar-trafico-de-carne;2.10;;2.10.1;NO
43;EU   (06.10.2018)   EP   2.3.4..pdf;06.10.2018;Trabajadores públicos reclamaron por sus derechos laborales;EU;6/10/2018;http://www.eluniversal.com/politica/22487/trabajadores-publicos-reclamaron-por-sus-derechos-laborales;2.3;;2.3.4;SI
44;EN   (05.12.2018)   5.   2.2.1..pdf;05.12.2018;Cecodap: El Estado abandonó a niños y adolescentes;EN;5/12/2018;http://www.el-nacional.com/noticias/sociedad/cecodap-estado-abandono-ninos-adolescentes_262149;5;2.2;2.2.1;NO
