id;idPeriodico;periodico;url;fecha;fechaPublicacion;autor;seccion;palabrasClaves;titular;subtitular;imagen;contenido;derecho;otrosDerechos;subDerechos;EP
1;254301;EN;http://www.el-nacional.com/noticias/economia/que-ignoro-regular-precio-carne_254301;04/10/2018;2018-10-277T01:15:00-0400;Adriana Fernández | @adrianakfv | afernandez@el-nacional.com;Economía;Economía, Escasez, Inflación, Sociedad;Lo que se ignoró al regular el precio de la carne;Un productor agropecuario del estado Táchira asegura que vender el producto a 90 bolívares por kilo es insuficiente para cubrir los costos de producción;http://en-cdnmed.agilecontent.com//resources/jpg/3/2/1538664560323.jpg;Luego de que el gobierno de Venezuela anunciara la regulación del precio de la carne a 90 bolívares por kilo, la producción del sector agropecuario del país ha desmejorado de forma considerable. Los ganaderos del estado Táchira, uno de los que genera la mayor cantidad de productos, han sido unos de los afectados por la medida económica implementada en agosto. Heriberto Labrador, productor agropecuario de la entidad y economista, asegura que la cifra se basó únicamente en el precio final del producto, que dejó a un lado los costos de producción que los ganaderos deben cubrir para generar un litro de leche o un kilo de carne. Señala que dicha situación ha provocado que los productores agropecuarios pierdan la capacidad para reponer los animales, por lo que se ha producido desabastecimiento en todo el territorio nacional. 'El tema no es generar abastecimiento simplemente, sino también generar reposición para que la cadena de comercialización no se rompa, es decir, que en el mediano y corto plazo siempre haya suministro. Si el ganadero no tiene capacidad de reponer lo que manda al matadero, en el corto plazo se va a generar un problema estructural, porque el desabastecimiento no va a ser por precio, sino por la falta de materia prima', explicó Labrador. Comentó que el precio de insumos como la medicina veterinaria y los rollos de alambre han tenido aumentos superiores al 120%. 'Eso no se está revisando, lo que se está revisando es simplemente el precio del producto a nivel del consumidor', dijo. Asegura que la ganadería es una labor que ha prevalecido en Táchira por al menos cuatro generaciones, por lo que los productores agropecuarios no especulan con el precio de la carne, el cual aseguran debe ser mucho mayor. 'Nadie nos va a venir a decir qué es lo que tenemos que hacer, eso lo sabemos hacer. Unos burócratas que están sentados en un escritorio desde Caracas no nos pueden imponer el precio final de un producto, porque no funciona así', aseveró. Escasez La regulación de los precios no es el único problema que enfrentan los productores agropecuarios de Táchira. La falta de repuestos para maquinarias o equipos en el país los ha obligado en numerosas ocasiones a tener que trasladarse a Colombia para poder comprar los insumos. La escasez de gasolina y diesel también se ha acentuado. Labrador comentó que los trabajadores deben emplear hasta cinco días para hacer una cola que les permita comprar el combustible, tanto para los vehículos de uso personal como para las maquinarias necesarias para el trabajo en las fincas. Por otro lado, el aumento salarial decretado por el gobierno también generó un impacto negativo en el campo, debido a que la reducción de los ingresos por la regulación de los precios les impide a los dueños de las fincas cubrir la nómina de empleados que trabajan en ellas. A pesar de ello, Labrador señala que tratan de brindarle a la mano obrera ciertas garantías para que siga trabajando en el sector agropecuario. 'Tratamos de homologar los salarios a los de Colombia. Les damos los alimentos dentro de la finca para que el trabajador del campo tenga unas garantías mínimas que le permita seguir produciendo con nosotros', acotó. También destacó la disposición de los trabajadores a mantener su labor, a pesar de los obstáculos que representa desempeñar dicha actividad en Venezuela. Sin embargo, reconoce que el sector requiere de unas condiciones mínimas para poder trabajar. 'No se puede dejar de ser productor de la noche a la mañana, pero sí se puede dejar de ser eficiente, si no nos dan las condiciones para que podamos producir con tranquilidad y con algunas garantías mínimas', dijo.;2.10;3.1;2.10.1, 3.1.1;NO
2;262344;EN;http://www.el-nacional.com/noticias/protestas/comunidades-trujillo-protestan-por-falta-gas-desde-hace-cuatro-meses_262344;06/12/2018;2018-12-340T11:14:00-0400;El Nacional Web;Protestas;Servicios, Agua, Protestas, Trujillo;Comunidades de Trujillo protestan por falta de gas desde hace cuatro meses;Los manifestantes también reclaman por el agua, el alumbrado y el estado de las calles;http://en-cdnmed.agilecontent.com//resources/jpg/9/4/1544109184549.jpg;Las comunidades de Santa Isabel, Los Pantanitos y Primera Sabana de la parroquia El Carmen, estado Trujillo, protestan este jueves por falta de gas desde hace cuatro meses. Reportes de Twitter indican que desde agosto los habitantes no cuentan con el servicio de distribución. Imágenes difundidas en la red muestran a los manifestantes en la calle con pancartas. Los afectados también exigen respuesta por el alumbrado, el agua y el estado de las vías.;2.8;;2.8.1;SI
3;254835;EN;http://www.el-nacional.com/noticias/protestas/trabajadores-ucv-protestaron-por-incumplimiento-contrato-colectivo_254835;08/10/2018;2018-10-281T12:08:00-0400;El Nacional Web;Protestas;UCV, Protestas, Denuncia;Trabajadores de la UCV protestaron por incumplimiento de contrato colectivo;Representantes del sindicato de trabajadores de la institución manifestó en las instalaciones de la casa de estudios para exigir el respeto a las escalas salariales;http://en-cdnmed.agilecontent.com//resources/jpg/3/3/1539015713133.jpg;El sindicato de trabajadores de la Universidad Central de Venezuela protestaron este lunes en las instalaciones de la casa de estudios por el incumplimiento de los contratos colectivo y el respeto de las escala salariales. Eduardo Sánchez, Presidente del Sindicato de trabajadores de la UCV, denunció que el Jardín Botánico no cuenta con electricidad desde hace más de ocho meses. Además, Sanchéz anunció que este miércoles los trabajadores de la casa de estudios irán al Mnisterio de Educación Universitaria para exigir mejoras salariales. Los empleados trancaron el paso vehícular desde tempranas horas de la mañana, sin embargo, el paso fue restablecido a las 12:00 pm.;2.3;;2.3.4;SI
4;262200;EN;http://www.el-nacional.com/noticias/protestas/vecinos-santa-elena-merida-protestaron-por-falta-gas-domestico_262200;05/12/2018;2018-12-339T10:02:00-0400;El Nacional Web;Protestas;NO_TIENE;Vecinos de Santa Elena en Mérida protestaron por falta de gas doméstico;Los afectados salieron con pancartas a la calle para exigir respuesta por la falta de distribución;http://en-cdnmed.agilecontent.com//resources/jpg/6/1/1544018982316.jpg;Vecinos de Santa Elena, estado Mérida, protestaron este miércoles en la avenida 16 de septiembre por falta de gas doméstico. Desde las 9:15 am salieron a la calle con pancartas. Reportes de Twitter indicaron que el candidato a concejal en la localidad por el Partido Socialista Unido de Venezuela (PSUV) entregará a la 1:00 pm las bombonas. El martes 4 de diciembre también se registró una manifestación en la plaza de Santa Elena para exigir respuesta por la falla de suministro de gas.;2.8;;2.8.1;SI
5;26292;EU;http://www.eluniversal.com/politica/26292/anc-designo-a-alfredo-ruiz-como-nuevo-defensor-del-pueblo;20/11/2018;20/11/2018 04:38 pm;ERNESTO MENDEZ;politica;NO_TIENE;ANC designó a Alfredo Ruíz como defensor del Pueblo;El presidente órgano plenipotenciario, Diosdado Cabello, explicó que el nuevo titular de la entidad se encontraba ejerciendo funciones en ese mismo despacho, pero de manera temporal;http://mmedia.eluniversal.com/17855/alfredo-ruiz-nuevo-defensor-del-pueblo-11048.jpg;"Caracas.- La Asamblea Nacional Constituyente (ANC) juramentó este martes a Alfredo Ruíz como nuevo defensor del Pueblo. El presidente del órgano plenipotenciario, Diosdado Cabello, realizó una 'moción de urgencia' en la sesión para designar a Ruíz como titular de la Defensoría, puesto que se encontraba ejerciendo el cargo en ese mismo despacho de manera temporal.";1.10;;1.10.2.1;NO
6;22485;EU;http://www.eluniversal.com/politica/22485/solicitan-que-eeuu-levante-las-sanciones-y-el-bloqueo;06/10/2018;06/10/2018 05:30 am;OSCAR  MORFFES;politica;NO_TIENE;Solicitan que EEUU levante las sanciones y el bloqueo;"Oficialistas se movilizaron por 'el diálogo y la paz' de Venezuela";http://mmedia.eluniversal.com/17809/solicitan-que-eeuu-levante-las-sanciones-y-el-bloqueo-7131.jpg;"Con una marcha convocada por sectores del oficialismo este viernes rechazaron los anuncios promovidos por el gobierno de los Estados Unidos contra Venezuela. La movilización se inició en horas del mediodía y cubrió distintas zonas de oeste de Caracas, entre ellas la avenida Los Ilustres, Nueva Granada, Roca Tarpeya, Plaza España hasta llegar al Calvario en el centro de la ciudad. Con un mensaje por la paz repudiaron las declaraciones que expresara en días pasados,  el presidente de los Estados Unidos, Donald Trump, durante la 73º Asamblea General de la Organización de las Naciones Unidas (ONU).  Trump aseguró que 'el presidente Maduro podría ser derrotado muy rápidamente si los militares deciden hacer eso'. El vicepresidente del Partido Socialista Unido de Venezuela (PSUV), Diosdado Cabello, quién encabezo la movilización junto a otros dirigentes manifestó que 'Venezuela apuesta al diálogo. Nosotros podemos dialogar con quien sea, sin vender nuestros principios y traicionar nuestras creencias'. 'Hemos sido objeto en los últimos cuatro años de ataques como no lo ha recibido ningún otro país, no estamos pidiendo a nadie que nos regale nada, no pretendemos un canal humanitario, estamos solicitando que nos liberen de las sanciones y del bloqueo para poder comprar las medicinas, los alimentos y todo lo necesario para el  pueblo', afirmó. Diosdado Cabello. 'El presidente de Estados Unidos está preocupado por el apoyo financiero de China y de ese grupo de países constituido también por Rusia y Bolivia por brindar su respaldo moral a Venezuela', expresó. También informó que a alta comisionada para los Derechos Humanos de la ONU, Michelle Bachelet, 'puede venir a Venezuela cuando quisiera, el país no está atravesando ninguna crisis humanitaria, sino una guerra de otros países en su contra.' El pasado 27 de septiembre, el Consejo de Derechos Humanos de la ONU aprobó una resolución sobre la crisis humanitaria, en la cual instó al Ejecutivo Nacional  a aceptar la asistencia para hacer frente a la escasez de medicamentos y alimentos, denunciada por diferentes organismos. Congreso este fin de semana Diosdado Cabello recordó que durante este sábado y domingo se  realizará el IV Congreso del PSUV,  en conjunto con la Juventud del Partido Socialista Unido de Venezuela, para tratar temas de organización política. Añadió que el presidente Nicolás Maduro, solicitó que la plenaria se realice para seguir revisando los acuerdos del programa económico. 'Se ha realizado un despliegue en el territorio nacional que ha solicitado el presidente Maduro, con el tema organizativo en cada uno de los estados para seguir profundizando la organización del PSUV para atender las necesidades del pueblo', aseveró. 'Este Congreso dará resultados en todo lo que corresponde a la proyección del partido durante los próximos 4 años y en la construcción de nuevas estrategias políticas, en todo el territorio nacional con la recolección de conclusiones en los debates y asambleas que se han realizado en estos últimos meses', agregó. Cabello. A la fecha, el PSUV ha realizado dos encuentros donde se han definido instancias de trabajo político, y el apoyo a las acciones económicas del Gobierno.";CONTEXTO;;;SI
7;252875;EN;http://www.el-nacional.com/noticias/politica/rocio-san-miguel-consejos-comunales-escogeran-pacientes-del-buque-chino_252875;22/09/2018;2018-09-265T02:48:00-0400;El Nacional Web;Política;Política, Salud, Crisis humanitaria;"Rocío San Miguel: Consejos comunales 'escogerán' pacientes del buque chino";Vladimir Padrino López, ministro de Defensa, aseguró que no habrá discriminación en la atención médica brindada por el buque;http://en-cdnmed.agilecontent.com//resources/jpg/9/9/1537642616699.jpg;"Rocío San Miguel, abogada y defensora de Derechos Humanos, denunció este sábado que los consejos comunales 'escogerán' a los pacientes que recibirán atención médica por parte del buque hospital chino 'Arca de la Paz'. 'Llega Buque Militar Sanitario Chino. Lamentable que la atención sanitaria que darán a los venezolanos, solo puedan realizarla por conducto de los consejos comunales, quienes 'escogerán' los pacientes puntuales . Segregación en la ayuda humanitaria', indicó la abogada en Twitter. Vladimir Padrino López, ministro de Defensa, aseguró que no habrá discriminación en la atención médica brindada por el buque, que ya recorrió más de 40 países. 'Hay 1.200 colombianos que van a tratarse, es decir, no hay discriminación alguna', declaró el funcionario de gobierno cuando arribó el buque la mañana de este sábado.";2.1;;2.1.1;NO
8;255391;EN;http://www.el-nacional.com/noticias/sociedad/vecinos-san-agustin-protestaron-por-asesinato-nino-anos_255391;11/10/2018;2018-10-284T03:53:00-0400;EL NACIONAL WEB;Sociedad;NO_TIENE;Vecinos de San Agustín protestaron por el asesinato de un niño de 12 años;El joven fue identificado como Kevin Segovia de 12 años de edad y al momento de su muerte estaba junto a su papa yendo al colegio;http://en-cdnmed.agilecontent.com//resources/jpg/2/1/1539289364412.jpg;Ciudadanos de la localidad de San Agustín en Caracas protestaron este jueves en rechazo a la muerte de un niño de 12 años que recibió un impacto de proyectil en la cabeza tras quedar en el medio de un enfrentamiento entre policías y delincuentes. El joven fue identificado como Kevin Segovia y al momento de su muerte viajaba con su papá en un vehículo partícular en dirección al colegio del menor, ubicado en las cercanías del Museo del Niño. 'A las 6:50 am inició el tiroteo y varias personas los empezamos a resguardar, mientras estábamos metiendo a los niños a la escuela y vimos al señor trayendo al niño muerto', dijo una ciudada de la zona para TVVenezuela.;1.1;;1.1.1.9;SI
9;261765;EN;http://www.el-nacional.com/noticias/presos-politicos/efe-las-condiciones-los-detenidos-pdvsa-tumba_261765;01/12/2018;2018-12-335T09:16:00-0400;EFE;Presos políticos;NO_TIENE;Efe: Las condiciones de los detenidos de Pdvsa en 'La Tumba';Fuentes informaron a Efe que Diego Salazar y José Enrique Luongo, involucrados en caso de corrupción en la estatal petrolera venezolana, se les ha negado controles médicos, lo que provocó el deterioro de la salud de ambos;http://en-cdnmed.agilecontent.com//resources/jpg/1/5/1541074452651.jpg;"Diego Salazar y José Enrique Luongo, detenidos hace un año en Venezuela por corrupción en la petrolera Pdvsa durante la presidencia de Hugo Chávez, permanecen recluidos en 'La Tumba', donde desde entonces solo han visto 15 horas de luz solar y no han pasado aún ante un juez, informaron a Efe fuentes de su entorno. El centro de detención está bajo la sede del Servicio Bolivariano de Inteligencia (Sebin) de Plaza Venezuela en Caracas y desde el 2 de diciembre de 2017 alberga a estos dos investigados por corrupción. Entre ellos son primos lejanos y Salazar es, a su vez, primo hermano del ex ministro de Energía y ex presidente de Pdvsa, Rafael Ramírez, uno de los hombres más poderosos de Venezuela con Chávez y en la actualidad exiliado, sin que se conozca su paradero. 'Es un lugar tan blanco y frío como un quirófano; la asepsia es casi la de un hospital y su blancura y su brillo es el de un quirófano', relatan las fuentes. Diego Salazar da nombre al que la Justicia venezolana llama el 'grupo Salazar', un conjunto de personas perseguidas por las autoridades y relacionadas con Ramírez, a quien supuestamente ayudaron a desviar fondos de la petrolera estatal, que presidió de 2004 a 2014. Al menos dos de sus miembros y el que fuera número dos de Ramírez, el ex viceministro de Energía Nervis Villalobos, han sido localizados en España, y Venezuela ha pedido su extradición, pero la Justicia española, de momento, se ha opuesto a entregar a uno de ellos, el ex contable de Pdvsa José Ramón Sánchez Rodríguez, por miedo a que sea maltratado en su país. Lo ha hecho apoyándose en documentos que aportó el abogado de Sánchez Rodríguez, Ismael Oliver, en los que se refiere a una veintena de peticiones, hasta ahora desoídas, de los abogados de Salazar y Luongo para que les dejen ver la luz del sol, les reconozcan médicos y pasen a disposición del juez, que ha solicitado tomarles declaración hasta en ocho ocasiones. En el caso de Salazar, de 50 años, los abogados alegan que padece un trastorno bipolar y muestra pensamientos suicidas, sobre todo después de que la Justicia venezolana echara a su mujer y tres hijos de su domicilio y una de sus niñas intentara suicidarse. 'Cuando estás ahí 24 horas al día y tienes algún antecedente psiquiátrico, te altera tu estabilidad emocional', resume su entorno, que explica que su estado físico se ha deteriorado. Salazar ha reclamado una docena de veces al juzgado y a la Fiscalía venezolana que le examine un psiquiatra y que se designe un fiscal para investigar las condiciones de su reclusión, pero no lo ha logrado. 'No ha sido trasladado e incluso se tiene conocimiento de que la policía nacional contra la corrupción se ha negado a recibir los oficios que le son dirigidos, afirmando que no está bajo su custodia', dice uno de los escritos aportado a la Justicia española. La situación irregular de Salazar se extiende a su familia, porque la Justicia ha quitado los pasaportes venezolano e italiano a sus tres hijos (uno de 12 años y dos gemelas de 15), reconociendo que la medida persigue prevenir la posible fuga de la madre, también imputada. El caso de Luongo, de 64 años, es parecido. Su defensa afirma que padece demencia senil y requiere de un control neurológico constante, cosa que no se le ha facilitado en su celda.";1.2;;1.2.2;NO
10;254985;EN;http://www.el-nacional.com/noticias/protestas/trabajadores-revolucionarios-protestan-ciudad-guayana_254985;09/10/2018;2018-10-282T09:18:00-0400;El Nacional Web;Protestas;Economía, Crisis económica, Protestas, Denuncia, Bolívar;Trabajadores 'revolucionarios' protestaron en Ciudad Guayana;Los empleados de las empresas básicas rechazaron la eliminación de tablas salariales y del seguro HCM;http://en-cdnmed.agilecontent.com//resources/jpg/5/4/1539091777245.jpg;La mañana de este martes los trabajadores de las empresas básicas de Ciudad Guayana, ubicada en el estado Bolívar, protestaron en contra de la eliminación de tablas salariales. Los manifestantes trancaron el paso de los peajes de la ciudad para evitar que los vehículos ingresen o salgan de la misma. Un manifestante denunció ante la Guardia Nacional Bolivariana que eliminaron el seguro HCM que cubre los gastos médicos de los empleados y declaró que los trabajadores de las empresas básicas también son revolucionarios. 'Nosotros en 2014 fuimos los que quitamos las guarimbas', recordó. Usuarios de Twitter rechazaron las protestas de los trabajadores de las empresas básicas porque recuerdan que los mismos no han sido parte de las manifestaciones de otros gremios y que solo velan por sus intereses.;2.3;2.1;2.3.4, 2.1.1;SI
