id;idPeriodico;periodico;url;fecha;fechaPublicacion;autor;seccion;palabrasClaves;titular;subtitular;imagen;contenido;derecho;otrosDerechos;subDerechos;EP
1;269212;EN;http://www.el-nacional.com/noticias/politica/guaido-tenemos-tres-puntos-acopio-para-ayuda-humanitaria_269212;02/02/2019;2019-02-33T12:56:00-0400;El Nacional;Política;NO_TIENE;Guaidó: Tenemos tres puntos de acopio para la ayuda humanitaria;El presidente interino de Venezuela expresó a los funcionarios oficialistas que están con Maduro, que se sumen para construir un nuevo país;http://en-cdnmed.agilecontent.com//resources/jpg/2/3/1548955344332.jpg;"Juan Guaidó, presidente interino de Venezuela, dijo este sábado en la concentración en Caracas que ya tienen tres puntos de acopio en las fronteras de Venezuela para la entrada de ayuda humanitaria. \"Hoy anunciamos una coalición mundial por la ayuda humanitaria y la libertad en Venezuela. Ya tenemos tres puntos de acopio para la ayuda: Cúcuta es el primero. Otro estará en Brasil y otro en una isla del Caribe\", dijo Guaidó. En otro sentido, el presidente interino de Venezuela dijo que las grandes movilizaciones no son solo en Caracas sino en diversas entidades del interior del país como San Juan de los Morros, Tucupita, es Carúpano, es La Guaira. \"Hoy la sonrisa en Venezuela tiene que ver con la esperanza de que vamos a cambiar al país\". \"Hay entre 250.000 y 300.000 venezolanos en riesgo de muerte. Esta primera etapa de la ayuda humanitaria está destinada a la población más vulnerable\", explicó. Además agregó que en los próximos días solicitará respaldo al pueblo de Venezuela para que acompañe a la búqueda de la ayuda humanitaria.";2.1;2.10, CONTEXTO;2.1.1, 2.10.1;NO
2;30540;EU;http://www.eluniversal.com/politica/30540/la-onu-expresa-su-preocupacion-por-situacion-politica-en-venezuela;14/01/2019;14/01/2019 08:31 pm;DPA;politica;NO_TIENE;La ONU expresa su preocupación por situación política en Venezuela;"El portavoz Stéphane Dujarric dijo en rueda de prensa que el secretario general de la ONU, António Guterres, \"está preocupado por lo que está viendo\" en el país";http://mmedia.eluniversal.com/17749/959.jpg;"Nueva York.-La Organización de las Naciones Unidas (ONU) ha expresado este lunes su preocupación por la situación política en Venezuela, ante las discrepancias en torno al reconocimiento del segundo mandato de Nicolás Maduro, y ha pedido a todas las partes que se abstengan de \"cualquier retórica o acción\" que aumente la tensión. El portavoz Stéphane Dujarric dijo en rueda de prensa que el secretario general de la ONU, António Guterres, \"está preocupado por lo que está viendo\" en el país, antes de agregar que el mandamás de la organización \"sigue de cerca los acontecimientos\". Interrogado sobre si el presidente de la Asamblea Nacional, Juan Guaidó, había pedido ayuda a la ONU tras su breve detención del domingo a manos del Sebin, indicó que lo desconoce, si bien señaló este incidente como prueba de la \"polarización\" en Venezuela, reseñó Europa Press para DPA. En este contexto, Dujarric instó \"a todos los actores a abstenerse de cualquier retórica o acción que pueda aumentar las tensiones ya existentes\", según ha informado la organización internacional. \"Reiteramos nuestra convicción de que el camino hacia la recuperación depende de los propios venezolanos y sus instituciones estatales, incluida la Asamblea Nacional, y de su búsqueda de una solución pacífica negociada que refuerce la gobernanza democrática, los derechos humanos y el Estado de Derecho en Venezuela\", enfatizó. La crisis política en Venezuela se agudizó el pasado jueves, cuando Maduro inició un segundo mandato de seis años conforme a las elecciones presidenciales del pasado 20 de mayo. Ni la oposición ni gran parte de la comunidad internacional reconocen este nuevo mandato por considerar que se basa en un proceso electoral fraudulento. Para los críticos con Maduro, desde el 10 de enero la única institución legítima en Venezuela es la Asamblea Nacional, renovada en las elecciones legislativas de 2015, que fueron reconocidas como válidas por el Gobierno y la oposición y que dieron la mayoría parlamentaria a esta última.";18;CONTEXTO;;NO
3;267178;EN;http://www.el-nacional.com/noticias/sociedad/ciudadanos-petare-gritaron-para-pedir-apoyo-gnb-durante-cabildo_267178;19/01/2019;2019-01-19T05:12:00-0400;El Nacional;Sociedad;Diputados, GNB, Asamblea Nacional, Caracas, Sociedad;Afectos al oficialismo intentaron sabotear Cabildo Abierto en Petare;Los ciudadanos gritaron consignas solicitando apoyo de la Guardia Nacional Bolivariana ;http://en-cdnmed.agilecontent.com//resources/jpg/9/5/1547932888059.jpg;"Habitantes de Petare, en Caracas, pidieron el apoyo de la Guardia Nacional Bolivariana (GNB) durante la realización de un cabildo abierto convocado por la Asamblea Nacional este sábado. \"Guardia, escucha, esta también es tu lucha\", fue la consigna que gritaron frente a un módulo de la GNB que estaba resguardado por los funcionarios del cuerpo de seguridad ante la magnitud de las personas que se encontraban en el lugar, informó el reportero Luis Gonzalo Pérez. También denunciaron la presencia de personas afectas del gobierno que se presentaron con banderas del Partido Socialista Unido de Venezuela (PSUV) e intentaron agredir a quienes participaban en el cabildo. Los ciudadanos del sector se congregaron en la plaza El Cristo, ubicada en la Redoma de Petare para participar en un cabilto abierto llevado a cabo por diputados de la Asamblea Nacional este sábado. También se ejecutó en diversas partes de la ciudad. /p>";12;;;SI
4;264580;EN;http://www.el-nacional.com/noticias/sociedad/liberaron-personas-detenidas-aragua-tras-protestar-por-pernil_264580;27/12/2018;2018-12-361T04:10:00-0400;EL NACIONAL WEB;Sociedad;Aragua, Sociedad;Liberaron a 20 personas detenidas en Aragua tras protestar por pernil;La manifestación se realizó el 23 de diciembre en la carretera nacional Cagua-La Villa;http://en-cdnmed.agilecontent.com//resources/jpg/1/2/1545942426121.jpg;Liberaron a un grupo de personas el 24 de diciembre que protestaron en Cagua, estado Aragua, porque recibieron un kilo de pernil por familia. El la protesta participaron 20 personas, quienes fueron detenidas por funcionarios de la Policía Nacional Bolivariana (PNB). Los manifestantes fueron liberados en dos grupos, primero las mujeres y luego los hombres, reseñó el portal Crónica Uno. La protesta se realizó el 23 de diciembre en la carretera nacional Cagua-La Villa. Las mujeres fueron liberadas aproximadamente a las 6:00 pm, mientras que los hombres salieron de los tribunales una hora después del 24 de diciembre. Con información de Crónica Uno.;1.2;2.10;1.2.1.3, 2.10.1;NO
5;264615;EN;http://www.el-nacional.com/noticias/politica/alberto-rodriguez-comando-del-cicpc-acudio-residencia-mis-padres_264615;28/12/2018;2018-12-362T07:20:00-0400;El Nacional Web;Política;Néstor Reverol, Política, Cicpc, Sucesos, Sociedad;Alberto Rodríguez: \"Comando del Cicpc acudió a la residencia de mis padres\";El periodista señaló que los funcionarios realizaban averiguaciones en su contra luego de haber publicado un artículo sobre la celebración del ministro de Interior, Justicia y Paz, Néstor Reverol, durante la Navidad;http://en-cdnmed.agilecontent.com//resources/jpg/5/9/1542829948395.jpg;El periodista Alberto Rodríguez denunció la noche de este jueves que una comisión del Cuerpo de Investigaciones Científicas, Penales y Criminalísticas (Cicpc) se presentó en la residencia de sus padres, ubicada en Caracas. Señaló que los funcionarios dijeron que realizaban averiguaciones en su contra, luego de que publicara un artículo sobre la celebración de la Navidad del ministro de Interior, Justicia y Paz, Néstor Reverol, junto a su familia. \"Hace minutos, un comando del Cicpc acudió a la residencia de mis padres en Caracas, Venezuela para realizar ‘averiguaciones en mi contra’ tras la publicación que hice ayer sobre Reverol. Les reitero: no vivo en Venezuela desde hace más de cinco años\", explicó vía Twitter. La nota, que fue publicada en su portal Alberto News, contó con imágenes del funcionario durante su reunión familiar. El periodista aseveró que los oficiales del Cicpc intentaban encontrar la fuente que le proporcionó las fotografías. \"Los funcionarios del Cicpc querían hallar la fuente de donde obtuve las imágenes de Reverol y su nueva esposa. Señor Reverol póngase a trabajar y si le molesta tanto eso, dígale a su mujer que deje de estar luciéndose en redes y mostrando su vida de lujo\", dijo.;1.3;;1.3.4;SI
6;266374;EN;http://www.el-nacional.com/noticias/protestas/personal-del-sector-universitario-protesta-para-exigir-mejoras-salariales_266374;14/01/2019;2019-01-14T12:29:00-0400;El Nacional;Protestas;Universidades, Caracas, Protestas, Sociedad;Personal del sector universitario protesta para exigir mejoras salariales;Los empleados de las universidades exigen mejoras salariales, agendaron varios días de paros y la asistencia a la protestas del 23 de enero;http://en-cdnmed.agilecontent.com//resources/jpg/8/5/1547483364658.jpg;"Trabajadores del sector universitario protestan la mañana de este lunes en las adyacencias del Ministerio de Educación y el Instituto de Previsión y Asistencia Social para el Personal del Ministerio de Educación (Ipasme) para exigir mejoras salariales. \"Desde la reconversión monetaria, tenemos un tabulador salarial de 4,75% que fue homologado y refrendado por el Ministerio de Educación y el ministro del Trabajo y hasta el momento incumplieron con ese tabulador. Nos están pagando solo el salario mínimo\", dijo Adrián Bolívar, secretario del contrato y conflicto de la Federación de Educación Universitaria. Bolívar alegó que los seguros médicos de los trabajadores apenas cubre 20.000 bolívares. \"El ministro de Educación Universitario debe entender que los trabajadores están descontentos y exigiendo el derecho que le asiste\", aseveró Bolívar. Posteriormente, Eduardo Sánchez, presidente de la Federación de Trabajadores Universitarios, indicó que este jueves y este viernes realizarán paros de actividades y que convocarán a una protesta para el 23 de enero que no estará vinculada con el llamado de la Asamblea Nacional.";2.3;;2.3.4;SI
7;28314;EU;http://www.eluniversal.com/politica/28314/la-onu-preve-que-habra-unos-53-millones-de-refugiados-venezolanos-a-fines-de-2019;14/12/2018;14/12/2018 11:07 am;AFP;politica;NO_TIENE;La ONU prevé que habrá unos 5,3 millones de refugiados venezolanos a fines de 2019;Según la Organización de Naciones Unidas (ONU), alrededor de tres millones de venezolanos viven en el extranjero, de los cuales al menos 2,3 millones dejaron su país de origen desde el año 2015;http://mmedia.eluniversal.com/17767/migracion-venezolana-3024.jpg;"Ginebra.-La Organización de Naciones Unidas (ONU) indicó este viernes que prevé que habrá 5,3 millones de migrantes y refugiados venezolanos para fin de 2019, debido a la crisis política y económica por la que atraviesa el país petrolero, e hizo un primer llamado a donaciones para la región. La organización internacional presentó en Ginebra el Plan regional de ayuda para los refugiados y los migrantes de Venezuela, algo \"inédito en las Américas\", según indicó la oficina del Alto Comisionado de la ONU para los Refugiados y la Organización Internacional para las Migraciones (OIM), en un comunicado conjunto. El informe señala que unos tres millones de venezolanos viven en el extranjero, de los cuales al menos 2,3 millones dejaron Venezuela desde 2015. La mayoría elige como destino Colombia o Perú. El éxodo de venezolanos que dejan su país aumentó en 2017 y se aceleró en 2018, apunta la ONU. Según estimaciones de la ACNUR y de la OIM, en 2018 unas 5.500 personas dejaron Venezuela cada día, reseñó AFP. \"Enfrentamos un sismo humanitario\", declaró el enviado especial de la ONU para los refugiados y migrantes de Venezuela, Eduardo Stein, en conferencia de prensa. \"El pico\" de partidas se alcanzó \"a mediados de agosto, cuando la cantidad de venezolanos que dejaron el país superó los 18.000 por día. Actualmente cayó a 5.000 por día en promedio\", agregó. El pedido de fondos lanzado por la ONU se basa sobre la hipótesis de que la situación actual continuará. Naciones Unidas pidió 738 millones de dólares para distribuir ayuda en 16 países a 2,7 millones de personas (2,2 millones de venezolanos y 500.000 personas en las comunidades a las que llegan). El éxodo de venezolanos que huyen de una situación económica desastrosa es considerado por la ONU como el desplazamiento de personas más grande de la historia reciente de América Latina. Venezuela cuenta con las mayores reservas petroleras del mundo, pero está asfixiado por una profunda crisis económica.";18;CONTEXTO;;NO
8;262777;EN;http://www.el-nacional.com/noticias/politica/cne-anuncio-que-participacion-fue-274-elecciones-municipales_262777;09/12/2018;2018-12-343T11:10:00-0400;El Nacional Web;Política;Política, Elecciones, CNE;CNE anunció que participación fue de 27,4% en elecciones municipales;Tibisay Lucena, presidente del poder electoral, informó los resultados durante una rueda de prensa la noche de este domingo;http://en-cdnmed.agilecontent.com//resources/jpg/4/0/1540392123004.jpg;Tibisay Lucena, presidente del Consejo Nacional Electoral (CNE), anunció este domingo en horas de la noche que la participación de las elecciones de Concejos Municipales fue 27,4%. La rectora del CNE acotó que los resultados emitidos corresponden a 92,30% de la transmisión de votos. De acuerdo con cifras del organismo, para este proceso de votación el Registro Electoral fue de 20.704.612 electores, por lo que aproximadamente 5.673.063 millones de ciudadanos ejercieron su derecho al sufragio durante los comicios de este 9 de diciembre. El porcentaje de participación de este año 2018 disminuyó en relación con las elecciones municipales del año 2013, cuando se situó en 58,36% del Registro Electoral. Lucena informó que los cargos quedaron adjudicados de la siguiente manera: De 467 cargos nominales, 449 son adjudicables para el Partido Socialista Unido de Venezuela (PSUV). De 156 cargos lista adjudicables, 142 son para el PSUV. También indicó que de 69 circunscripciones indigenas 45 son adjudcables. Al terminar de leer los resultdos, Lucena autorizó a las juntas municipales para adjudicar a los ganadores del proceso,;CONTEXTO;;;NO
9;268188;EN;http://www.el-nacional.com/noticias/mundo/cidh-otorgo-medida-cautelar-proteccion-favor-guaido-familia_268188;25/01/2019;2019-01-25T10:56:00-0400;El Nacional;Mundo;Juan Guaidó, Mundo;CIDH otorgó medida cautelar de protección a favor de Guaidó y su familia;La Comisión Interamericana de Derechos Humanos consideró que  existe una situación de riesgo a la vida e integridad física del presidente interino de la República;http://en-cdnmed.agilecontent.com//resources/jpg/3/6/1539279762763.jpg;Paulo Abrao, secretario ejecutivo de la Comisión Interamericana de Derechos Humanos (CIDH), informó este viernes que el organismo otorgó medidas cautelares de protección a favor del presidente interino de la República Juan Guaidó y los miembros de su familia en Venezuela. \"La CIDH otorgó medidas cautelares de protección a favor de Juan Guaidó y los miembros de familia en Venezuela\", publicó Abrao en Twitter. El secretario ejecutivo de la Comisión Interamericana de Derechos Humanos explicó que la decisión se produce luego de que consideraran que existe una situación de riesgo para la vida e integridad física tanto de Guaidó como de su familia. \"Dado el perfil que tiene el señor Guaidó en el presente momento, la Comisión consideró que enfrentaría una mayor situación de vulnerabilidad o riesgo a ser posible blanco de ataques\", se lee en un comunicado publicado por la CIDH. Para leer el comunicado completo ingrese aquí;18;5, 1.3;1.3.4;NO
11;28939;EU;http://www.eluniversal.com/caracas/28939/protestaron-en-defensa-de-la-propiedad-privada;23/12/2018;23/12/2018 05:30 am;JOSE ANDRADE;caracas;NO_TIENE;Protestaron en defensa de la propiedad privada;Vecinos de La Candelaria aseguran que fueron invadidos más de 140 edificios;http://mmedia.eluniversal.com/17887/protesta-13843.jpg;"Caracas-Habitantes de todos los sectores Caracas protestaron este viernes en rechazo a las \"violaciones\" a la propiedad privada que se han presentado en distintas parroquias del norte de la ciudad, así lo informó el coordinador del Frente en defensa del Norte de Caracas, Carlos Rojas. Durante una protesta realizada frente a la sede del centro comercial Sambil de La Candelaria, el dirigente vecinal señaló que \"grupos violentos han invadido más de 140 edificios de las parroquias La Candelaria, San Bernardino, El Recreo y Altagracia\". Además, las invasiones también se han registrado en estacionamientos de conjuntos residenciales. \"Estos puntos se convirtieron en alcabalas de la muerte donde delincuentes hacen de las suyas luego de tomar violentamente las estructuras. Incluso cobran vacuna a quienes viven en el sector\", acotó Rojas. Los manifestantes expresaron que el Gobierno ha expropiado edificios comerciales que \"son vitales para el desarrollo de las comunidades\". Recordaron que este año se cumplió una década de la expropiación del Sambil de La Candelaria, el cual \"representaba un faro del progreso en este sector. Sin embargo, ahora es un ejemplo de abandono y de las nefastas políticas económicas de los gobiernos de Hugo Chávez y Nicolás Maduro\", atacó Rojas. La vecina de La Candelaria, Celmira Sayago expresó su preocupación con respecto a esta situación. Aseguró que \"el pueblo venezolano ha perdido empleos debido este tipo de expropiaciones\". Relató que su hija perdió la oportunidad de trabajar en las oficinas que iban a operar en este centro comercial. Asimismo, la vocera del movimiento vecinal Montalbán Activo, Emma Salazar, comentó que \"la expropiación se hizo con la promesa de construir un hospital público, luego dijeron que se iba a instalar una universidad, pero en su lugar los vecinos desconocen realmente lo que está pasando allí y más bien observan cómo se mueve mercancía de dudosa procedencia. Estas instalaciones podrían utilizarse con fines de mayor productividad\", aseveró. Rojas explicó que \"de no haberse expropiado este centro comercial, este habría generado 4 mil empleos directos y 6 mil indirectos, siendo una luz de progreso y crecimiento económico para toda Caracas\".";2.8;;2.8.1.2;SI
