;autor;contenido;derecho;fecha;fechaPublicacion;idPeriodico;imagen;palabrasClaves;periodico;seccion;subtitular;titular;url
0;EFE;['Allen Chastenet, primer ministro de Santa Lucía,xa0exigióxa0eleccionesxa0justasxa0para poner fin a laxa0crisisxa0que atraviesaxa0Venezuela, en consonancia con la postura de los países de la Comunidad del Caribe (Caricom).', 'Chastenet, en una declaración institucional, pidió a Nicolás Maduro que realicexa0hacia unasxa0eleccionesxa0justas, solicitud reiterada en varias ocasiones por laxa0comunidad internacional.', ''Santaxa0Lucíaxa0ha observado, sin embargo, que el régimen de Nicolás Maduroxa0ha ignorado esta petición que cuenta con el apoyo de la mayoría de los países del mundo. Nuestro paísxa0continuará trabajando con todos los países y organizaciones interesados en asegurar la democracia enxa0Venezuelaxa0y garantizar la estabilidad regional', sostuvo Chastanet.', 'Chastenet destacó que ya sea por referéndum,xa0eleccionesxa0o cualquier otro mecanismo acordado, esa es la vía que conducirá a concluir laxa0crisisxa0enxa0el país.', 'Adelantó que el gobierno dexa0Santaxa0Lucíaxa0seguirá de cerca laxa0crisisxa0venezolana, y destacó además que la seguridad de las fronteras dexa0Santaxa0Lucíaxa0es un asunto prioritario para su gobierno, en especial desde el incremento del tráfico de armas y drogas con origen enxa0Venezuela.'];2.1;7/3/19;2019-03-66T03:43:00-0400;273774;http://en-cdnmed.agilecontent.com//resources/jpg/8/7/1551986094378.jpg;Mundo, Latinoamérica;EN;Latinoamérica;El primer ministro del país caribeño aseguró que espera que la crisis en el país se solucione y que incrementará la seguridad en sus fronteras debido al incremento de tráfico de drogas y armas con origen en el territorio venezolano;Santa Lucía pidió elecciones para terminar con la crisis de Venezuela;http://www.el-nacional.com/noticias/latinoamerica/santa-lucia-pidio-elecciones-para-terminar-con-crisis-venezuela_273774
1;Rosibel Cristina González | rcgonzalez@el-nacional.com;['Familiares de las víctimas del presuntoxa0enfrentamiento con la Fuerza de Acciones Especiales (FAES) negaron la versión de los funcionarios y exigieronxa0que se abra una investigación. Gustavo Duque, alcalde de Chacao, deploró los hechos ocurridos en Guarenas.', 'Una primera versión de los hechos emitida desde la Delegación Estadal Miranda, Eje de Homicidios Guarenas, la Policía Nacional Bolivariana, en conjunto con la FAES, reportó la muerte de Eligio Alexander Duarte Barrios, de 41 años de edad, funcionario activo de Polichacao, y de Fernando Lira, ex funcionario del mismo organismo.', 'El parte policial indicó que se trató de un enfrentamiento registrado el miércoles en la tarde en la avenida Intercomunal Guarenas-Guatire, adyacente al Conjunto Residencial Villa Panamericana, parroquia Guarenas del municipio Plaza, estado Miranda.', 'Antecedentes', 'Hace algunos días la pareja de Lira contactó a una persona que vende dólares, a través de la red social Instagram. Lira acordó el pago mediante una transferencia bancaria en bolívares, pero nunca recibió el efectivo en moneda extranjera, a pesar de que habló por teléfono varias veces con el vendedor.', 'El martes de Carnaval el vendedor le indicó a Lira que había sido estafado, pero que de todas formas concretaría el pago, pues vendería su teléfono celular y una laptop. Finalmente la entrega se fijó para el miércoles en la tarde en Guarenas.', 'Lira le pidió apoyo a Duarte y ambos se dirigieron al sitio de encuentro con el vendedor a bordo de una camioneta Toyota Hilux color negro. Duarte iba de copiloto y tenía su arma de reglamento.', 'En la avenida Intercomunal Guarenas-Guatire, varios funcionarios de la FAES, vestidos de negro, encapuchados, con fusiles y ametralladoras, descendieron de dos vehículos Ford Fiesta de color negro e interceptaron la camioneta Toyota donde se trasladaban Lira y Duarte.', 'Lira, que era el conductor, salió del vehículo y recibió tresxa0tiros, mientras que a Duarte Barrios le dispararon en tresxa0ocasiones. Los arrodillaron y esposaron. “Fueron ruleteados hasta dejarlos morir, luego los llevaron al Hospital Central de Guarenas, donde alegaron que fueron abatidos en un presunto enfrentamiento con la FAES”, sostuvo Alexis Lira, fundador y ex funcionario de Polichacao, hermano mayor de una de las víctimas.', '“Estos hombres encapuchados y plenamente identificados como FAES tirotearon la camioneta de mi hermanoxa030xa0veces. Manipularon la escena del crimen, le sembraron un arma y con el arma de reglamento de Duarte también dispararon para alegar el enfrentamiento”, agregó Alexis Lira.', 'Irregularidades', 'El alcalde del municipio Chacao cuestionó el procedimiento de la FAES, loxa0catalogó como irregular y exigió celeridad en las investigaciones.', 'En un comunicado, la máxima autoridad del municipio Chacao expresó: “Me veo en la penosa labor de informar el vil y cruel asesinato del oficial agregado de nuestra Polichacao, Eligio Alexander Duarte Barrios, un funcionario de carrera intachable y, sin duda, ejemplo para todos los funcionarios públicos de la alcaldía. Además, campeón de tiro nacional e internacional. Debemos denunciar que en un procedimiento bastante irregular, realizado por presuntos funcionarios de la FAES de la PNB, nuestro funcionario y su ex compañero Fernando Lira fueron asesinados vilmente. Ante esta situación exigimos justicia y el esclarecimiento de este abominable hecho, y que caiga todo el peso de la ley contra estos delincuentes”.', 'Fernando Lira se retiró de Polichacao hace cincoxa0años. Era padre de una niña de 13 años de edad.', 'Los cadáveres de Lira y Duarte fueron ingresados en la medicatura forense de Bello Monte, y se espera la presencia de un fiscal del Ministerio Público para la realización del informexa0post mortem.'];1.1;7/3/19;2019-03-66T03:35:00-0400;273779;http://en-cdnmed.agilecontent.com//resources/jpg/2/9/1551986874492.jpg;FAES, Sucesos;EN;Sucesos;Gustavo Duque, alcalde del municipio Chacao, cuestionó la actuación de ese cuerpo policial y la catalogó como un procedimiento irregular. Exigió justicia y celeridad en las investigaciones;Acusan a la FAES de simular enfrentamiento en la muerte de dos personas;http://www.el-nacional.com/noticias/sucesos/acusan-faes-simular-enfrentamiento-muerte-dos-personas_273779
2;EFE;['El gobierno de Estados Unidos evalúa la posibilidad de otorgar a losxa0venezolanosxa0el Estatus de Protección Temporal (TPS, en inglés), un beneficio migratorio que les permitiría trabajar y vivir legalmente en el país.', 'Elliott Abrams, encargado especial de Estados Unidos para la crisis en Venezuela, aseguró que la posibilidad de otorgar el TPS a losxa0venezolanos 'está bajo consideración'. Explicó que los departamentos de Estado y de Seguridad Nacional están analizando las diferentes opciones disponibles para proteger a losxa0venezolanosxa0que ya están en EE UU, y recordó que 74.000 originarios de Venezuela se han pedido refugio político en el país.', 'El TPS es un programa migratorio creado en el año 1990 con el que EE UUxa0concede permisos de forma extraordinaria a los nacionales de países afectados por conflictos bélicos o desastres naturales.', 'Por otra parte, un grupo de legisladores de los dos partidos, demócratas y republicanos, ha presentado en el Congreso un proyecto de ley que busca otorgar el TPS para losxa0venezolanos.', 'Entre los solicitantes se encuentra Cardin, el senador demócrata Bob Mendéndez y Marco Rubio, que hoy presidió una audiencia titulada 'Las relaciones entre EE UU y Venezuela por el camino a una transición democrática' en el comité de Exteriores del Senado.'];2.1;7/3/19;2019-03-66T03:23:00-0400;273776;http://en-cdnmed.agilecontent.com//resources/jpg/1/6/1551985914861.jpg;Crisis política, Estados Unidos;EN;Mundo;El TPS es un programa migratorio creado en el año 1990 con el que EE UU concede permisos de forma extraordinaria a los nacionales de países afectados por conflictos bélicos o desastres naturales;Estados Unidos evalúa otorgar beneficio migratorio a venezolanos ;http://www.el-nacional.com/noticias/mundo/estados-unidos-evalua-otorgar-beneficio-migratorio-venezolanos_273776
3;EL NACIONAL;"['La Comisión Interamericana de Derechos Humanos (CIDH) emitió el pasado 4 de marzo de 2019 una resolución mediante la cual otorgó medidas cautelares de protección a favor de Isbert José Marín Chaparro tras considerar que se encuentra en una situación de gravedad y urgencia de riesgo de daño irreparable a sus derechos.', 'De acuerdo con la solicitud, el beneficiario sería teniente coronel del Ejército y se encontraría privado de la libertad en el Fuerte Tiuna desde el pasado 2 de marzo de 2019, luego de serxa0acusado de traición a la patria, entre otros delitos, informó el organismo a través de una nota de prensa.', 'Al tomar su determinación, la CIDH tomó en cuenta que de acuerdo con los alegatos de la solicitante, el beneficiario habría pasado períodos de aislamiento presuntamente con una bolsa en la cabeza y con las manos amarradas, y le lanzarían comida al suelo.', 'Se indicó asimismo que la celda donde se encuentra sería muy reducida y, entre otros aspectos, se encontraría en condiciones insalubres, sin ventilación y expuesto las 24 horas del día a una luz blanca. De acuerdo con la solicitud, se habría negado el acceso de alimentos y medicamentos llevados por los familiares del beneficiario durante las visitas.', 'La CIDH solicitó al Estado que adopte las medidas necesarias para proteger los derechos a vida e integridad personal de Isbert José Marín Chaparro, que adopte las medidas necesarias para garantizar que las condiciones de detención del propuesto beneficiario cumplan con los estándares internacionales aplicables; y ue informe sobre las acciones adoptadas a fin de investigar los hechos alegados que dieron lugar a la adopción de la presente medida cautelar y evitar así su repetición.']";2.1;7/3/19;2019-03-66T03:15:00-0400;273769;http://en-cdnmed.agilecontent.com//resources/jpg/3/4/1551983843743.jpg;Mundo, Sociedad;EN;Mundo;Isbert José Marín Chaparro fue encarcelado desde el pasado 2 de marzo y fue acusado de traición a la patria;CIDH solicita protección para teniente coronel detenido en Fuerte Tiuna;http://www.el-nacional.com/noticias/mundo/cidh-solicita-proteccion-para-teniente-coronel-detenido-fuerte-tiuna_273769
4;Eleonora Delgado | eldelgado@el-nacional.com;['Hasta 50.000 puede pagar una persona para pasar de Colombia a Venezuela por un camino verde, de acuerdo con la tarifa que fijaron los trocheros.', 'El uso de esas vías alternas se convirtió en la opción para quienes necesitan con urgencia estar en uno u otro país, ya sea por la aplicación de tratamiento para combatir enfermedades crónicas, comprar alimentos y medicinas o trabajar, y no pueden cruzar los puentes internacionales por el bloqueo que mantiene Venezuela.', 'La tarifa máxima incluye movilización en vehículos con aire acondicionado desde Cúcuta hastaxa0La Paradaxa0o El Escobar, así como el pago por cargar el equipaje del interesado en pasar la frontera.', 'El costo representa dos semanas de alimentación con proteína animal y frutas adquiridas en el comercio cucuteño para una familia de cinco miembros.', '“O se organizan o nadie pasa”', 'Debido a la gran afluencia de personas, en las trochas fueron habilitadas dos rutas: una con destino a Venezuela y otra a Colombia.', 'En ambos sentidos la indicación que ratifican quienes dominan la trocha es el orden.', '“O se organizan y hacen caso o cierro esta vaina y nadie pasa”. La advertencia es intimidante, y de inmediato las personas se forman en fila para pasar.', 'La tarifa básica por el uso de la trocha es de 2.000 pesos y se debe “declarar” lo que lleva cada quien porque de ello dependerá el pago adicional, excepto en el caso de alimentos. A quién lleve mercado a su caso les piden una “colaboración” que esté al alcance.', 'En grupos ayudan a pasar a quienes van con muletas, en sillas de ruedas o camillas improvisadas, entre ellos xa0pacientes oncológicos. Al igual que las embarazadas, solo pagan 1.000 pesos colombianos.', 'La mañana es uno de los momentos en que se registra un importante flujo de personas por las trochas. El trayecto puede hacerse en 7 o 10 minutos, según la cantidad de interesados en pasar.', 'Sin embargo, el temor de un eventual enfrentamiento entre grupos armados en pugna por dominar el área puede dar la impresión de que el trayecto por la trocha es eterno.'];2.1;7/3/19;2019-03-66T03:08:00-0400;273772;http://en-cdnmed.agilecontent.com//resources/jpg/8/4/1551984713848.jpg;Mundo, Colombia;EN;Latinoamérica;El temor de un eventual enfrentamiento entre grupos armados en pugna por el área puede hacer que el trayecto por los caminos verdes parezca eterno;Hasta tres sueldos mínimos cuesta cruzar la frontera por trocha;http://www.el-nacional.com/noticias/latinoamerica/hasta-tres-sueldos-minimos-cuesta-cruzar-frontera-por-trocha_273772
5;EL NACIONAL;['Un nuevo cargamento de ayuda humanitariaxa0enviado por Estados Unidos llegó al aeropuerto internacional Camilo Daza en Cúcuta (Colombia)xa0y será trasladado al centro de acopio en el puente Las Tienditas.', 'La Agencia de EEUU para el Desarrollo (USAID) informó que fue enviado un nuevo cargamento de suministros adicionales de ayuda humanitaria que fueron enviados desde Florida. Entre los suministros médicos que transporte el avión de carga militar C-130xa0se encuentran guantes, batas quirúrgicas, mascarillas y suministros de limpieza.', ''Hoy, EEUU ha enviado ayuda humanitaria desde Florida a Cúcuca, Colombia, para ayudar a la gente afectada por la crisis política y económica que atraviesa ese país', reza el texto de la organización estadounidense.', 'José Manuel Olivares, diputado a la Asamblea Nacional (AN), anunció la llegada del avión esta tarde a la ciudad colombiana y recibió el cargamento en el terminal junto a una comisión de derechos humanos.', 'El envío de este nuevo cargamento se realizóxa0dos semanas luego que Nicolás Maduro impidió el ingreso de más de 200 toneladas de ayuda humanitaria a Venezuela al imponer varios cordones policiales en cada uno de los pasos fronterizos en Venezuela.'];2.1;7/3/19;2019-03-66T02:55:00-0400;273773;http://en-cdnmed.agilecontent.com//resources/jpg/2/7/1551985104772.jpg;Colombia;EN;Sociedad;El gobierno de EE UU informó que envió cargamento adicional con guantes y batas quirúrgicas;Nuevo cargamento de ayuda humanitaria para Venezuela arribó a Cúcuta;http://www.el-nacional.com/noticias/sociedad/nuevo-cargamento-ayuda-humanitaria-para-venezuela-arribo-cucuta_273773
6;ANA CAROLINA ARIAS;"['Nueva Esparta.-xa0La plataforma Unidos por la Salud de la isla Margarita avanza en el objetivo para el cual se unieron, como es organizar las necesidades en el estado ante una 'inminente' entrada de ayuda humanitaria, y en ese sentido trabajan en la fase 1 como lo ha establecido la Asamblea Nacional.', 'Germán Rojas Loyola, miembro de la plataforma y vocero de la Sociedad de Puericultura y Pediatría de Nueva Esparta, informó que los gremios médicos y organismos con trabajo en salud que conforman este grupo, determinan en campo los casos de desnutrición y personas con enfermedades crónicas, que en efecto serán la prioridad a atender con las acciones especiales que ha dispuesto el Parlamento.', 'Dijo que los niños desnutridos de cero a cinco años; las mujeres embarazadas, los adolescentes y personas de tercera edad en igual condición y además, en estado de abandono o dependencia, serán los atendidos en una primera fase porque son vidas en absoluto riesgo.', 'Destacó la 'ayuda urgente' que requieren las personas con padecimientos crónicos como hipertensión, diabetes, en tratamiento de diálisis y oncología, así como con detección positiva de Virus de Inmuno deficiencia Humano (VIH), ya que la situación de emergencia compleja médico asistencial eleva la vulnerabilidad de su salud.', 'Rojas informó que a la fecha Nueva Esparta no ha recibido ayuda foránea, y la crisis se sigue sobrellevando solo con el programa médico asistencial de la Gobernación de Nueva Esparta.', 'No obstante, lamentó que la red hospitalaria y ambulatoria de Nueva Esparta mantenga 'serias deficiencias' en su plan de alimentación para las personas hospitalizadas, por cuanto acelera el deterioro de los cientos de pacientes recluidos en estos espacios.', 'Plan de insumos', 'Efectivamente, en los últimos días el gobernador de la entidad, Alfredo Díaz, ha agilizado el programa de dotación de insumos médicos, registrando ya la cuarta 'Cruzada de la Salud' que lleva por municipio.', 'La planificación es atender 50 ambulatorios de Margarita y Coche, además de las entregas que ya se han hecho en el Hospital Luis Ortega de Porlamar, y centros de salud de los municipios Mariño y García.', 'Recalcó que el programa que ejecuta busca suplir las faltas en las que incurre el Gobierno nacional a través del Ministerio de Salud y demás instituciones del sector, con lo cual espera al menos ayudar a los más necesitados, pues afirma que es doloroso que los bonos que entrega el Gobierno además de ser excluyentes tienen que ser dispuestos por las familias para este tipo de urgencias porque no hay políticas que garanticen el derecho a la salud.']";2.1;7/3/19;7/3/19 13:51;35010;http://mmedia.eluniversal.com/17962/gremios-de-la-salud-siguen-planificacion-por-fase-ayuda-humanitaria-para-nueva-esparta-19266.jpg;NO_TIENE;EU;venezuela;Casos de desnutrición en niños, adolescentes y ancianos, así como personas con enfermedades crónicas son prioridad;Gremios de la salud siguen planificación por fase de ayuda humanitaria para Nueva Esparta;http://www.eluniversal.com/venezuela/35010/gremios-de-la-salud-siguen-planificacion-por-fase-ayuda-humanitaria-para-nueva-esparta
7;LUIGI RAMIREZ;['En horas de la noche de ayer seis de marzo un grupo de antisociales asesinaron al comisario jefe del Cuerpo de Investigaciones Científicas Penales y Criminalísticas (Cicpc),  del estado Miranda, Fernando Antonio Jiménez, en la carretera Nacional La Raiza, entrada al Manguito de Los  Valles del Tuy.', 'Según fuentes policiales, el hecho ocurrió cuando se encontraba en el operativo de retorno de Carnaval 2019 en esa región.', 'De acuerdo a la versión del portal webxa0Agencia Carabobeña de Noticias (ACN),xa0al comisario general lo emboscaron varios delincuentes, quienes integran la banda delictiva del “Vizcaino”, que opera en dicha zona.xa0Se conoció que en este hecho también resultó herido el detective José Díaz, de quien se desconoce su estado de salud.xa0Por su parte, el Comisario General Douglas Rico, director  del Cicpc expresó sus palabras de condolencia a familiares y amigos ante el hecho,  a través de su redes sociales @douglasricovzla.xa0xa0“Mis palabras no les quitará el dolor y sufrimiento a familiares, amigos y compañeros de trabajo del C/G Fernando Jiménez.”xa0xa0Pero les aseguro que no descansaremos hasta dar con quienes le quitaron la vida. No a la impunidad.”'];1.1;7/3/19;7/3/19 13:45;35011;http://mmedia.eluniversal.com/17962/comisario-jimenez-cicpc-19269.jpg;NO_TIENE;EU;sucesos;El funcionario fue identificado como Fernando Jiménez , quien fue asesinado por antisociales cuando se encontraba en medio del operativo de Carnaval en la carretera La Raiza.;Matan a un comisario del Cicpc en el estado Miranda;http://www.eluniversal.com/sucesos/35011/fallece-comisario-del-cicpc-tras-un-enfrentamiento-en-miranda
8;AVN;"['Caracas.-El sistema del Tipo de Cambio Complementario Flotante del Mercado (Dicom) cotizó la tasa del euro en 3.734,04 bolívares, informó este jueves el Banco Central de Venezuela (BCV).', 'En cuanto a otras tasas referenciales, la moneda china, el yuan, se ubicó en 461,65 bolívares; el rublo ruso se ubicó en 50,04 bolívares; y la lira turca en 608,48 bolívares.', 'El Dicom cuenta con 625.035 usuarios registrados en su página web www.dicom.gob.ve, 41.918 personas jurídicas y 583.117 personas naturales.', 'La cotización del euro la jornada anterior del día miércoles 6 de marzo, se ubicó en 3.760,58 bolívares, una ligera baja en comparación con la tasa de este jueves (Bs. 3.734,04).']";2.1;7/3/19;7/3/19 11:59;34994;http://static.eluniversal.com/2018/04/20/euros.jpg;NO_TIENE;EU;economia;"La moneda china, el yuan, se ubicó en 461,65 bolívares; el rublo ruso se ubicó en 50,04 bolívares; y la lira turca en 608,48 bolívares";Euro Dicom se ubicó en 3.734,04 bolívares este jueves;http://www.eluniversal.com/economia/34994/euro-dicom-se-ubico-en-373404-bolivares-este-jueves
9;Diario El Universal;['Dos funcionarios de Policía de Chacao (Polichacao), uno activo y otro retirado, fueron asesinados ayer en horasxa0 de la tarde presuntamente en manos de oficiales de las Fuerzas de Acciones Especiales (Faes) de la Policía Nacional en un hecho registrado en Guarenas la denuncia la confirmó el alcalde de Chacao, Gustavo Duque a través de su cuenta en twitter.', 'Según el informe policial de las Faes, Alexander Eligio Duarte y Fernando Lira fueron ultimados durante un enfrentamiento armado para la liberación de un cautivo.', 'Sin embargo, el alcalde de Chacao exigió que se investigue este hecho.'];1.1;7/3/19;7/3/19 8:43;34977;http://mmedia.eluniversal.com/17962/polichacao-19235.jpg;NO_TIENE;EU;sucesos;El alcalde Gustavo Duque exigió justicia ante este hecho.Las víctimas fueron Alexander Eligio Duarte (Polichacao activo) y Fernando Lira, exfuncionario de este organismo policial.;Denuncian que efectivos de las Faes asesinaron a dos polichacao;http://www.eluniversal.com/sucesos/34977/denuncian-que-agentes-de-las-faes-asesinaron-a-dos-polichacao
