;autor;contenido;derecho;fecha;fechaPublicacion;idPeriodico;imagen;palabrasClaves;periodico;seccion;subtitular;titular;url
0;EFE;['El gobierno de Estados Unidos evalúa la posibilidad de otorgar a losxa0venezolanosxa0el Estatus de Protección Temporal (TPS, en inglés), un beneficio migratorio que les permitiría trabajar y vivir legalmente en el país.', 'Elliott Abrams, encargado especial de Estados Unidos para la crisis en Venezuela, aseguró que la posibilidad de otorgar el TPS a losxa0venezolanos 'está bajo consideración'. Explicó que los departamentos de Estado y de Seguridad Nacional están analizando las diferentes opciones disponibles para proteger a losxa0venezolanosxa0que ya están en EE UU, y recordó que 74.000 originarios de Venezuela se han pedido refugio político en el país.', 'El TPS es un programa migratorio creado en el año 1990 con el que EE UUxa0concede permisos de forma extraordinaria a los nacionales de países afectados por conflictos bélicos o desastres naturales.', 'Por otra parte, un grupo de legisladores de los dos partidos, demócratas y republicanos, ha presentado en el Congreso un proyecto de ley que busca otorgar el TPS para losxa0venezolanos.', 'Entre los solicitantes se encuentra Cardin, el senador demócrata Bob Mendéndez y Marco Rubio, que hoy presidió una audiencia titulada 'Las relaciones entre EE UU y Venezuela por el camino a una transición democrática' en el comité de Exteriores del Senado.'];2.1;07/03/2019;2019-03-66T03:23:00-0400;273776;http://en-cdnmed.agilecontent.com//resources/jpg/1/6/1551985914861.jpg;Crisis política, Estados Unidos;EN;Mundo;El TPS es un programa migratorio creado en el año 1990 con el que EE UU concede permisos de forma extraordinaria a los nacionales de países afectados por conflictos bélicos o desastres naturales;Estados Unidos evalúa otorgar beneficio migratorio a venezolanos ;http://www.el-nacional.com/noticias/mundo/estados-unidos-evalua-otorgar-beneficio-migratorio-venezolanos_273776
1;EL NACIONAL;"['La Comisión Interamericana de Derechos Humanos (CIDH) emitió el pasado 4 de marzo de 2019 una resolución mediante la cual otorgó medidas cautelares de protección a favor de Isbert José Marín Chaparro tras considerar que se encuentra en una situación de gravedad y urgencia de riesgo de daño irreparable a sus derechos.', 'De acuerdo con la solicitud, el beneficiario sería teniente coronel del Ejército y se encontraría privado de la libertad en el Fuerte Tiuna desde el pasado 2 de marzo de 2019, luego de serxa0acusado de traición a la patria, entre otros delitos, informó el organismo a través de una nota de prensa.', 'Al tomar su determinación, la CIDH tomó en cuenta que de acuerdo con los alegatos de la solicitante, el beneficiario habría pasado períodos de aislamiento presuntamente con una bolsa en la cabeza y con las manos amarradas, y le lanzarían comida al suelo.', 'Se indicó asimismo que la celda donde se encuentra sería muy reducida y, entre otros aspectos, se encontraría en condiciones insalubres, sin ventilación y expuesto las 24 horas del día a una luz blanca. De acuerdo con la solicitud, se habría negado el acceso de alimentos y medicamentos llevados por los familiares del beneficiario durante las visitas.', 'La CIDH solicitó al Estado que adopte las medidas necesarias para proteger los derechos a vida e integridad personal de Isbert José Marín Chaparro, que adopte las medidas necesarias para garantizar que las condiciones de detención del propuesto beneficiario cumplan con los estándares internacionales aplicables; y ue informe sobre las acciones adoptadas a fin de investigar los hechos alegados que dieron lugar a la adopción de la presente medida cautelar y evitar así su repetición.']";2.1;07/03/2019;2019-03-66T03:15:00-0400;273769;http://en-cdnmed.agilecontent.com//resources/jpg/3/4/1551983843743.jpg;Mundo, Sociedad;EN;Mundo;Isbert José Marín Chaparro fue encarcelado desde el pasado 2 de marzo y fue acusado de traición a la patria;CIDH solicita protección para teniente coronel detenido en Fuerte Tiuna;http://www.el-nacional.com/noticias/mundo/cidh-solicita-proteccion-para-teniente-coronel-detenido-fuerte-tiuna_273769
2;Eleonora Delgado | eldelgado@el-nacional.com;['Hasta 50.000 puede pagar una persona para pasar de Colombia a Venezuela por un camino verde, de acuerdo con la tarifa que fijaron los trocheros.', 'El uso de esas vías alternas se convirtió en la opción para quienes necesitan con urgencia estar en uno u otro país, ya sea por la aplicación de tratamiento para combatir enfermedades crónicas, comprar alimentos y medicinas o trabajar, y no pueden cruzar los puentes internacionales por el bloqueo que mantiene Venezuela.', 'La tarifa máxima incluye movilización en vehículos con aire acondicionado desde Cúcuta hastaxa0La Paradaxa0o El Escobar, así como el pago por cargar el equipaje del interesado en pasar la frontera.', 'El costo representa dos semanas de alimentación con proteína animal y frutas adquiridas en el comercio cucuteño para una familia de cinco miembros.', '“O se organizan o nadie pasa”', 'Debido a la gran afluencia de personas, en las trochas fueron habilitadas dos rutas: una con destino a Venezuela y otra a Colombia.', 'En ambos sentidos la indicación que ratifican quienes dominan la trocha es el orden.', '“O se organizan y hacen caso o cierro esta vaina y nadie pasa”. La advertencia es intimidante, y de inmediato las personas se forman en fila para pasar.', 'La tarifa básica por el uso de la trocha es de 2.000 pesos y se debe “declarar” lo que lleva cada quien porque de ello dependerá el pago adicional, excepto en el caso de alimentos. A quién lleve mercado a su caso les piden una “colaboración” que esté al alcance.', 'En grupos ayudan a pasar a quienes van con muletas, en sillas de ruedas o camillas improvisadas, entre ellos xa0pacientes oncológicos. Al igual que las embarazadas, solo pagan 1.000 pesos colombianos.', 'La mañana es uno de los momentos en que se registra un importante flujo de personas por las trochas. El trayecto puede hacerse en 7 o 10 minutos, según la cantidad de interesados en pasar.', 'Sin embargo, el temor de un eventual enfrentamiento entre grupos armados en pugna por dominar el área puede dar la impresión de que el trayecto por la trocha es eterno.'];2.1;07/03/2019;2019-03-66T03:08:00-0400;273772;http://en-cdnmed.agilecontent.com//resources/jpg/8/4/1551984713848.jpg;Mundo, Colombia;EN;Latinoamérica;El temor de un eventual enfrentamiento entre grupos armados en pugna por el área puede hacer que el trayecto por los caminos verdes parezca eterno;Hasta tres sueldos mínimos cuesta cruzar la frontera por trocha;http://www.el-nacional.com/noticias/latinoamerica/hasta-tres-sueldos-minimos-cuesta-cruzar-frontera-por-trocha_273772
3;EL TIEMPO | GDA | COLOMBIA;['El ambiente en el Real Madrid sigue de mal en peor tras una temporada nefasta,xa0en la que se quedó por fuera de la Liga de Campeones y la Copa del Rey y a 12 puntos del líder en la Liga local, a falta de 12 fechas.', 'El diario españolxa0Asxa0asegura que, tras la eliminación enxa0Champions frente al Ajax, con una goleada 1-4 en el estadio Santiago Bernabéu,xa0se presentó una fuerte discusión en el camerino entre Florentino Pérez, presidente del equipo, y el capitánxa0Sergio Ramos, quien no jugó ese día por suspensión.', 'Pérez bajó al vestuario y reprendió fuertemente a la plantilla de jugadores, a lo cual Ramos le replicó y lo culpó de la mala temporada.xa0“Tú me pagas y yo me voy. Yo lo he dado todo y me he partido la cara por este escudo, por este club y hasta por ti”,xa0habría dicho Ramos, segúnxa0As.', 'De acuerdo conxa0la misma publicación,xa0el club estaría buscando la contratación inmediata del portugués José Mourinho, quien quedó con una pésima relación con Ramos.xa0Sin embargo, el diarioxa0Marcaxa0asegura que el objetivo del Real Madrid es el regreso de Zinedine Zidanexa0y que ya habían designado axa0Emilio Butragueño como director deportivoxa0para tratar de convencer al francés.', 'Por su parte, el croata Luka Modric, en un mensaje publicado en sus redes sociales, reconoció que la última había sido 'la semana más difícil' de su vida. El Balón de Oro balcánico, no obstante, quexa0'el éxito no consiste en no caer nunca, sino en levantarte cada vez que te caes'xa0y termina con un 'HalaMadrid'.'];2.1;07/03/2019;2019-03-66T03:00:00-0400;273777;http://en-cdnmed.agilecontent.com//resources/jpg/2/1/1551986274412.jpg;NO_TIENE;EN;Fútbol;El capitán y el presidente del Real Madrid tuvieron una fuerte discusión en el vestuario tras la eliminación en Champions, reseñó el diario As;Prensa española reportó pelea entre Florentino Pérez y Sergio Ramos;http://www.el-nacional.com/noticias/futbol/prensa-espanola-reporto-pelea-entre-florentino-perez-sergio-ramos_273777
4;EL NACIONAL;['Un nuevo cargamento de ayuda humanitariaxa0enviado por Estados Unidos llegó al aeropuerto internacional Camilo Daza en Cúcuta (Colombia)xa0y será trasladado al centro de acopio en el puente Las Tienditas.', 'La Agencia de EEUU para el Desarrollo (USAID) informó que fue enviado un nuevo cargamento de suministros adicionales de ayuda humanitaria que fueron enviados desde Florida. Entre los suministros médicos que transporte el avión de carga militar C-130xa0se encuentran guantes, batas quirúrgicas, mascarillas y suministros de limpieza.', ''Hoy, EEUU ha enviado ayuda humanitaria desde Florida a Cúcuca, Colombia, para ayudar a la gente afectada por la crisis política y económica que atraviesa ese país', reza el texto de la organización estadounidense.', 'José Manuel Olivares, diputado a la Asamblea Nacional (AN), anunció la llegada del avión esta tarde a la ciudad colombiana y recibió el cargamento en el terminal junto a una comisión de derechos humanos.', 'El envío de este nuevo cargamento se realizóxa0dos semanas luego que Nicolás Maduro impidió el ingreso de más de 200 toneladas de ayuda humanitaria a Venezuela al imponer varios cordones policiales en cada uno de los pasos fronterizos en Venezuela.'];2.1;07/03/2019;2019-03-66T02:55:00-0400;273773;http://en-cdnmed.agilecontent.com//resources/jpg/2/7/1551985104772.jpg;Colombia;EN;Sociedad;El gobierno de EE UU informó que envió cargamento adicional con guantes y batas quirúrgicas;Nuevo cargamento de ayuda humanitaria para Venezuela arribó a Cúcuta;http://www.el-nacional.com/noticias/sociedad/nuevo-cargamento-ayuda-humanitaria-para-venezuela-arribo-cucuta_273773
5;SANDRA GUERRERO | sguerrero@el-nacional.com;['Jesús Domínguez, hermano del periodista y disidente del chavismo, Alí Ramón Domínguez, de 26 años de edad, que murió en el Hospital de El Llanito a consecuencia de una golpiza que le dieron, pidió que se haga justicia y que el caso no quede impune. “Que no quede solo como noticia, que se llegue a la verdad. Que se haga justicia y que el caso no quede impune”, indicó.', 'La División contra homicidios del Cuerpo de Investigaciones Científicas, Penales y Criminalísticas (Cicpc) inició las investigaciones relacionadas con la muerte del comunicador social.', 'Domínguez llegó a Caracas procedente de Valle La Pascua, estado Guárico, el domingo pasado. Se enteró que su hermano menor estaba desaparecido cuando una hermana lo llamó para pedirle el número de la cédula de identidad del joven.', 'Al hacer la denuncia de la desaparición de Alí Ramón en la policía científica le recomendaron que visitara hospitales y así lo hizo. Cuando llegó al Hospital de El Llanito en la recepción le dijeron que no estaba recluido allí pero le sugirieron que fuese e la morgue de ese centro donde había dosxa0cadáveres no identificados. Ninguno de los cuerpos era el de su hermano y continuó la búsqueda.', 'La tarde del martes pasado retornó a ese centro de salud donde le permitieron entrar y le indicaron que había un paciente que no tenía familia, que estaba allí desde la noche del jueves.xa0Al verlo observó que Alí Ramón tenía un golpe en la boca y unos dientes partidos. Además se enteró que tenía traumatismo craneoencefálico debido a varios golpes que le dieron en la cabeza.', 'Se enteró que una comisión de Protección Civil lo recogió en la autopista Francisco Fajardo y lo llevó a ese hospital. El informe relacionado con este caso indica que a Alí Ramón Domínguez lo arrollaron.', '“No tengo información de lo que pasó, pero está claro que no lo arrollaron”, dijo su hermano.', 'Jesús Domínguez explicó que no estuvo de acuerdo con la actuación política de su hermano y nunca le hizo comentarios de que hubiese sido amenazado. El cadáver será llevado al estado Trujillo para velarlo y sepultarlo.', 'La víctima era el menor de cincoxa0hermanos y cumpliría hoy 27 años de edad. Trabajaba ayudando a su hermano que tiene 13 años vendiendo hortalizas en Guárico.', 'Alí Gómez, amigo y compañero de la Universidad Bolivariana, dijo que Domínguez recibió amenazas hace unos dosxa0años cuando hizo denuncias sobre presuntos hechos de corrupción en esa casa de estudios y pidió la creación de una comisión de contraloría para investigar ese caso.', 'Fue agredido cuando varios hombres lo subieron a una camioneta, lo golpearon y luego lo bajaron del vehículo.', 'Días antes de su muerte, Alí Ramón Domínguez dijo a sus compañeros que si algo le llegaba a pasar mantuvieran la lucha por la democracia, expresó Gómez entre lágrimas.', 'Agregó que a su amigo no le habían entregado su título de Comunicador Social por cuestiones políticas.'];1.1;07/03/2019;2019-03-66T02:50:00-0400;273770;http://en-cdnmed.agilecontent.com//resources/jpg/1/3/1551984144331.jpg;Sucesos, Sociedad;EN;Sociedad;Jesús Domíguez aclaró que no tiene información de lo que ocurrió, pero que no lo arrollaron. Hace 2 años recibió amenazas por denuncias relacionadas con la Universidad Bolivariana;Hermano de periodista asesinado pide que el caso no quede impune;http://www.el-nacional.com/noticias/sociedad/hermano-periodista-asesinado-pide-que-caso-quede-impune_273770
6;EL NACIONAL;['Miguel Pizarro, diputado a la Asamblea Nacional, anunció la designación de Manuela Bolívar como presidente de la Subcomisión de la Mujer e Igualdad de Género.', ''Como presidente de la Comisión Permanente de Desarrollo Social e Integral de la Asamblea Nacional, designamos a la diputada Manuela Bolivar como presidente de la Subcomisión de Mujer e Igualdad de Género', informó el parlamentario en Twitter.', 'Bolívar ha denunciado la crisis humanitaria y agradeció a las más de 60 delegaciones internacional que apoyaron a Venezuela, en recaudar ayuda humanitaria para el país durante su participación en la Conferencia Mundial de la Crisis Humanitaria en Venezuela realizada en la ciudad dexa0Washington.', '“Hoy en Venezuela cientos de miles de niños que no pueden desarrollar sus capacidades por no ingerir alimentos. Son muchos los venezolanos que están sentenciados a muerte porque no hay medicamentos. Como es el caso de Daniel Laya, paciente de la unidad de nefrología del Hospital J.M. de los Ríos, quien no obtuvo el catéter y se infectó en las máquinas de diálisis”, sostuvo Bolívar.'];2.1;07/03/2019;2019-03-66T02:35:00-0400;273763;http://en-cdnmed.agilecontent.com//resources/jpg/6/4/1551982133446.jpg;Política, Asamblea Nacional;EN;Asamblea Nacional;La parlamentaria ha denunciado la crisis humanitaria y agradeció a las más de 60 delegaciones internacional que apoyaron a Venezuela;Manuela Bolívar fue designada presidenta de Subcomisión de la Mujer de AN;http://www.el-nacional.com/noticias/asamblea-nacional/manuela-bolivar-fue-designada-presidenta-subcomision-mujer_273763
7;ANA CAROLINA ARIAS;"['Nueva Esparta.-xa0La plataforma Unidos por la Salud de la isla Margarita avanza en el objetivo para el cual se unieron, como es organizar las necesidades en el estado ante una 'inminente' entrada de ayuda humanitaria, y en ese sentido trabajan en la fase 1 como lo ha establecido la Asamblea Nacional.', 'Germán Rojas Loyola, miembro de la plataforma y vocero de la Sociedad de Puericultura y Pediatría de Nueva Esparta, informó que los gremios médicos y organismos con trabajo en salud que conforman este grupo, determinan en campo los casos de desnutrición y personas con enfermedades crónicas, que en efecto serán la prioridad a atender con las acciones especiales que ha dispuesto el Parlamento.', 'Dijo que los niños desnutridos de cero a cinco años; las mujeres embarazadas, los adolescentes y personas de tercera edad en igual condición y además, en estado de abandono o dependencia, serán los atendidos en una primera fase porque son vidas en absoluto riesgo.', 'Destacó la 'ayuda urgente' que requieren las personas con padecimientos crónicos como hipertensión, diabetes, en tratamiento de diálisis y oncología, así como con detección positiva de Virus de Inmuno deficiencia Humano (VIH), ya que la situación de emergencia compleja médico asistencial eleva la vulnerabilidad de su salud.', 'Rojas informó que a la fecha Nueva Esparta no ha recibido ayuda foránea, y la crisis se sigue sobrellevando solo con el programa médico asistencial de la Gobernación de Nueva Esparta.', 'No obstante, lamentó que la red hospitalaria y ambulatoria de Nueva Esparta mantenga 'serias deficiencias' en su plan de alimentación para las personas hospitalizadas, por cuanto acelera el deterioro de los cientos de pacientes recluidos en estos espacios.', 'Plan de insumos', 'Efectivamente, en los últimos días el gobernador de la entidad, Alfredo Díaz, ha agilizado el programa de dotación de insumos médicos, registrando ya la cuarta 'Cruzada de la Salud' que lleva por municipio.', 'La planificación es atender 50 ambulatorios de Margarita y Coche, además de las entregas que ya se han hecho en el Hospital Luis Ortega de Porlamar, y centros de salud de los municipios Mariño y García.', 'Recalcó que el programa que ejecuta busca suplir las faltas en las que incurre el Gobierno nacional a través del Ministerio de Salud y demás instituciones del sector, con lo cual espera al menos ayudar a los más necesitados, pues afirma que es doloroso que los bonos que entrega el Gobierno además de ser excluyentes tienen que ser dispuestos por las familias para este tipo de urgencias porque no hay políticas que garanticen el derecho a la salud.']";2.1;07/03/2019;07/03/2019 01:51 pm;35010;http://mmedia.eluniversal.com/17962/gremios-de-la-salud-siguen-planificacion-por-fase-ayuda-humanitaria-para-nueva-esparta-19266.jpg;NO_TIENE;EU;venezuela;Casos de desnutrición en niños, adolescentes y ancianos, así como personas con enfermedades crónicas son prioridad;Gremios de la salud siguen planificación por fase de ayuda humanitaria para Nueva Esparta;http://www.eluniversal.com/venezuela/35010/gremios-de-la-salud-siguen-planificacion-por-fase-ayuda-humanitaria-para-nueva-esparta
8;LUIGI RAMIREZ;['En horas de la noche de ayer seis de marzo un grupo de antisociales asesinaron al comisario jefe del Cuerpo de Investigaciones Científicas Penales y Criminalísticas (Cicpc),  del estado Miranda, Fernando Antonio Jiménez, en la carretera Nacional La Raiza, entrada al Manguito de Los  Valles del Tuy.', 'Según fuentes policiales, el hecho ocurrió cuando se encontraba en el operativo de retorno de Carnaval 2019 en esa región.', 'De acuerdo a la versión del portal webxa0Agencia Carabobeña de Noticias (ACN),xa0al comisario general lo emboscaron varios delincuentes, quienes integran la banda delictiva del “Vizcaino”, que opera en dicha zona.xa0Se conoció que en este hecho también resultó herido el detective José Díaz, de quien se desconoce su estado de salud.xa0Por su parte, el Comisario General Douglas Rico, director  del Cicpc expresó sus palabras de condolencia a familiares y amigos ante el hecho,  a través de su redes sociales @douglasricovzla.xa0xa0“Mis palabras no les quitará el dolor y sufrimiento a familiares, amigos y compañeros de trabajo del C/G Fernando Jiménez.”xa0xa0Pero les aseguro que no descansaremos hasta dar con quienes le quitaron la vida. No a la impunidad.”'];1.1;07/03/2019;07/03/2019 01:45 pm;35011;http://mmedia.eluniversal.com/17962/comisario-jimenez-cicpc-19269.jpg;NO_TIENE;EU;sucesos;El funcionario fue identificado como Fernando Jiménez , quien fue asesinado por antisociales cuando se encontraba en medio del operativo de Carnaval en la carretera La Raiza.;Matan a un comisario del Cicpc en el estado Miranda;http://www.eluniversal.com/sucesos/35011/fallece-comisario-del-cicpc-tras-un-enfrentamiento-en-miranda
9;AVN;"['Caracas.-El sistema del Tipo de Cambio Complementario Flotante del Mercado (Dicom) cotizó la tasa del euro en 3.734,04 bolívares, informó este jueves el Banco Central de Venezuela (BCV).', 'En cuanto a otras tasas referenciales, la moneda china, el yuan, se ubicó en 461,65 bolívares; el rublo ruso se ubicó en 50,04 bolívares; y la lira turca en 608,48 bolívares.', 'El Dicom cuenta con 625.035 usuarios registrados en su página web www.dicom.gob.ve, 41.918 personas jurídicas y 583.117 personas naturales.', 'La cotización del euro la jornada anterior del día miércoles 6 de marzo, se ubicó en 3.760,58 bolívares, una ligera baja en comparación con la tasa de este jueves (Bs. 3.734,04).']";2.1;07/03/2019;07/03/2019 11:59 am;34994;http://static.eluniversal.com/2018/04/20/euros.jpg;NO_TIENE;EU;economia;"La moneda china, el yuan, se ubicó en 461,65 bolívares; el rublo ruso se ubicó en 50,04 bolívares; y la lira turca en 608,48 bolívares";Euro Dicom se ubicó en 3.734,04 bolívares este jueves;http://www.eluniversal.com/economia/34994/euro-dicom-se-ubico-en-373404-bolivares-este-jueves
