;autor;contenido;derecho;fecha;fechaPublicacion;idPeriodico;imagen;palabrasClaves;periodico;seccion;subtitular;titular;url
0;El Nacional;['La organización Tatuajes X Juguetes lamentó muerte de Fernando Lira, miembro fundador de la iniciativa, quien fue asesinado el miércoles 6 de marzo.', 'Los miembros de la institución describieron a Lira como un hombre comprometido con sus ideales, principios y sueños.', 'A continuación el comunicado completo:', 'Desde la organización Tatuajes X Juguetes que hace vida en el país desde hace 5 años, lamentamos informar la reciente pérdida de nuestro compañero y amigo Fernando Lira asesinado el día de ayer, miércoles 6 de marzo de 2019.', 'No hay palabras, en este momento, que puedan aliviar el vacío que deja está perdida para nosotros y para la sociedad: Fernando fue uno de los primeros fundadores de este equipo, vivía por ayudar, siempre motivado a dejar en cada niño una sonrisa y un recuerdo mediante nuestro trabajo.', 'Tatuajes X Juguetes surgió como una iniciativa para apoyar a quienes más lo necesitan, a esos niños de zonas populares que quizás no pueden gozar de ciertos beneficios, y para ellos Fernando y este equipo siempre estuvo presente.', 'A sus familiares, queremos manifestar nuestras condolencias y solidaridad, a todos nos ha sorprendido el fallecimiento de Fernando y desde Tatuajes X Juguetes podemos afirmar que llevaremos siempre su nombre en alto en cada donación y en cada actividad.', 'Fernando es parte de la gran familia que representa Tatuajes X Juguetes, exigimos que se haga justicia para él. Fernando, fuiste esa clara representación de un hombre comprometido con sus ideales, principios y sueños, no solo fuiste un activista principal en este equipo, también fuiste un fiel compañero y un leal amigo.', 'Tu lucha ha sido por la solidaridad y la ayuda a miles de niños venezolanos y esa es la lucha de cada uno de nosotros que ahora más que nunca levantamos nuestra voz para exigir justicia para ti.', 'Con información de nota de prensa'];2.1;07/03/2019;2019-03-66T02:31:00-0400;273762;http://en-cdnmed.agilecontent.com//resources/jpg/7/1/1551980906917.jpg;NO_TIENE;EN;Sociedad;El miembro fundador de la organización trabajaba para beneficiar a los niños de zonas populares ;Tatuajes X Juguetes lamentó la muerte de uno de los fundadores;http://www.el-nacional.com/noticias/sociedad/tatuajes-juguetes-lamento-muerte-uno-los-fundadores_273762
1;El Nacional;['Gustavo Marcano, dirigente político en el exilio y ex alcalde del municipio Lecherías, denunció este miércoles que el Servicio Administrativo de Identificación Migración y Extranjería (Saime) continúa otorgando citas para trámites y servicios consulares en Estados Unidos, a pesar de que Nicolás Maduro ordenó el cierre de todos los consulados venezolanos en territorio estadounidense.', ''A pesar de que el narcorégimen de Maduro, desmanteló y cerró todas las sedes consulares de la República en EE UU, aún siguen otorgando citas falsas a través del sistema Saime en dichas sedes, con el fin de obtener financiamiento mediante el cobro de aranceles', denunció Marcano en una publicación en Instagram.', 'El dirigente político señaló que el equipo diplomático venezolano designado por el presidente interinoxa0Juan Guaidó, dirigido por el encargado de negocios en EE UU, Carlos Vecchio, informará próximamente los pasos a seguir para la reactivación de solicitudes de trámites venezolanos en el exterior.', ''Nos enfrentamos a una tiranía asesina y estafadora, sin embargo, reiteramos qué hay una decisión tomada e irreversible, por parte del pueblo venezolano y el mundo libre, de lograr libertad, democracia y el restablecimiento del orden constitucional en Venezuela', aseveró.'];2.1;07/03/2019;2019-03-66T02:25:00-0400;273760;http://en-cdnmed.agilecontent.com//resources/jpg/2/3/1550154135732.jpg;Saime, Estados Unidos;EN;Política;El dirigente político aseguró que el equipo diplomático del presidente interino Juan Guaidó anunciará próximamente la reactivación de las solicitudes de trámites consulares venezolanos en territorio estadounidense;Gustavo Marcano: Saime otorga citas falsas en EE UU para obtener dinero;http://www.el-nacional.com/noticias/politica/gustavo-marcano-saime-otorga-citas-falsas-para-obtener-dinero_273760
2;EL NACIONAL;['Miguel Pizarro, diputado a la Asamblea Nacional, anunció la designación de Manuela Bolívar como presidente de la Subcomisión de la Mujer e Igualdad de Género.', ''Como presidente de la Comisión Permanente de Desarrollo Social e Integral de la Asamblea Nacional, designamos a la diputada Manuela Bolivar como presidente de la Subcomisión de Mujer e Igualdad de Género', informó el parlamentario en Twitter.', 'Bolívar ha denunciado la crisis humanitaria y agradeció a las más de 60 delegaciones internacional que apoyaron a Venezuela, en recaudar ayuda humanitaria para el país durante su participación en la Conferencia Mundial de la Crisis Humanitaria en Venezuela realizada en la ciudad dexa0Washington.', '“Hoy en Venezuela cientos de miles de niños que no pueden desarrollar sus capacidades por no ingerir alimentos. Son muchos los venezolanos que están sentenciados a muerte porque no hay medicamentos. Como es el caso de Daniel Laya, paciente de la unidad de nefrología del Hospital J.M. de los Ríos, quien no obtuvo el catéter y se infectó en las máquinas de diálisis”, sostuvo Bolívar.'];2.1;07/03/2019;2019-03-66T02:35:00-0400;273763;http://en-cdnmed.agilecontent.com//resources/jpg/6/4/1551982133446.jpg;Política, Asamblea Nacional;EN;Asamblea Nacional;La parlamentaria ha denunciado la crisis humanitaria y agradeció a las más de 60 delegaciones internacional que apoyaron a Venezuela;Manuela Bolívar fue designada presidenta de Subcomisión de la Mujer de AN;http://www.el-nacional.com/noticias/asamblea-nacional/manuela-bolivar-fue-designada-presidenta-subcomision-mujer_273763
3;EFE;['La vicepresidenta de Colombia, Marta Lucía Ramírez, aseguró este jueves que es necesario trabajar en conjunto para superar la crisis que se vive en Venezuela puesto que en los dos países la democracia conforma dos caras de la misma moneda. Al intervenir en el foro “¿Qué va a pasar en Venezuela?”, organizado por la revistaxa0Semana, Ramírez aseguró que la paz de Colombia y de Venezuela también van de la mano por los vínculos históricos, humanos y geográficos.', '“Esta es una crisis que tenemos que solucionar trabajando juntos y tenemos que reconstruir las instituciones y la sociedad venezolana que está herida en lo más profundo, hay miles de familias heridas en esta circunstancia dolorosa”, señaló Ramírez. Por eso, citó la intervención de Simón Bolívar en el Congreso de Angostura, celebrado hace 200 años, y en el que el Libertador dijo: “Estos pueblos hermanos ya os han confiado sus intereses, sus derechos, sus destinos”. Para Ramírez, Venezuela y Colombia “tienen una tradición histórica” puesto que ambos vienen de un mismo origen y son dos pueblos que van a estar unidos por el resto de los siglos. “Por esa razón, el interés nuestro no puede ser de coyuntura”, subrayó Ramírez quien se preguntó por qué durante los 20 años de gobiernos chavistas no se dieron cuenta de la degradación de Venezuela que para ella era evidente.', 'Ante la situación que se vive hoy en Venezuela desde que el jefe del Parlamento, Juan Guaidó, anunció el pasado 23 de enero que asumía el cargo de presidente interino, aseguró que el proceso es irreversible. Guaidó ha propuesto como ruta que el gobernante Nicolás Maduro abandone el poder, se instale un gobierno de transición y finalmente haya elecciones libres.', '“Este es un proceso irreversible, una decisión que le conviene al pueblo venezolano y a América Latina. Las complacencias y las actitudes timoratas seguramente nos las cobraría la historia. Ojalá Maduro y su camarilla salgan por esta presión diplomática y resuelvan irse a algún lado de manera pacífica”, añadió Ramírez. Ante esta situación, la vicepresidenta reiteró que el futuro de Colombia debe ir en conjunto con el venezolano, por lo que considera que su país debe hacer todo lo que esté a su alcance para que Venezuela recupere la libertad y la democracia. En este sentido, aseguró que en el proceso no caben ambiciones personales ni políticas de nadie. Para Ramírez, hay una gran incertidumbre en Venezuela porque “se está jugando a la geopolítica mundial”. Por eso, afirmó que es necesario “entender algo importante” y es que en Venezuela no hay “una dictadura simplemente”, sino que se ha instalado “un régimen criminal que se tomó el poder y se ha mantenido en el poder de manera arbitraria”.'];2.1;07/03/2019;2019-03-66T02:20:00-0400;273764;http://en-cdnmed.agilecontent.com//resources/jpg/5/4/1551982493645.jpg;Mundo, Latinoamérica, Colombia;EN;Latinoamérica;La canciller Marta Lucía Ramírez participó en un foro organizado por la revista Semana llamado “¿Qué va a pasar en Venezuela?”;Vicepresidenta de Colombia: Proceso de cambio en Venezuela es irreversible;http://www.el-nacional.com/noticias/latinoamerica/vicepresidenta-colombia-proceso-cambio-venezuela-irreversible_273764
4;El Nacional;['Mark Green, director de laxa0Agencia de los Estados Unidos para el Desarrollo Internacional (Usaid por sus siglas en inglés), advirtió que durante su visita a Cúcuta observó a una gran cantidad de madres jóvenes venezolanas afectadas por la crisis del país.', ''Las mujeres sienten un dolor muy intenso, tanto por sus familias como por la situación. Estas personas, cuando huyen de la tiranía, son propensas a ser explotadas muy facilmente', alertó Green durante una audiencia sobre relaciones bilaterales entre EE UU y Venezuela.', 'Datos de Migración Colombia indicaron en diciembre del año 2018xa0que más de un millón de venezolanos se encuentran radicados en el país.xa0Christian Krüger, director de la institución, aseguró en aquel momento que el Estado colombiano pretendía lograr la identificación de la mayor parte de los migrantes para evitar que fueran víctimas de explotación laboral.', 'La frontera colombo-venezolana fue cerrada el pasado 23 de febrero por órdenes de Nicolás Maduro, luego del intento de ingreso de la ayuda humanitaria al territorio nacional.'];2.1;07/03/2019;2019-03-66T02:10:00-0400;273756;http://en-cdnmed.agilecontent.com//resources/jpg/8/4/1543598252648.jpg;Estados Unidos, Mundo, Colombia;EN;EE UU;El director de la organización estadounidense, Mark Green, alertó que las mujeres jóvenes que llegan a Cúcuta en condiciones deplorables sienten dolor por sus familias y por la situación del país;Usaid: Venezolanas migrantes son propensas a ser explotadas laboralmente;http://www.el-nacional.com/noticias/usaid-venezolanas-migrantes-son-propensas-ser-explotadas-laboralmente_273756
5;JOHNNY VILLARROEL | @johnnyvillar;['1)xa0xa0xa0xa0Marc Márquez.xa0El español del equipo Repsol Honda aparece como la primera carta para repetir la corona. El 7 veces campeón, 5 de ella en MotoGP, viene de superar una operación en el hombro y en los entrenamientos mostró que está listo para defender el cetro de la máxima categoría que ganó en forma consecutiva en 2016, 2017 y 2018', '2)xa0xa0xa0xa0Jorge Lorenzo.xa0El compañero de Márquez en Repsol Honda viene de una fractura en mano izquierda que ha mermado notablemente su pretemporada, sin embargo es firme candidato a la corona. Lorenzo es bicampeón mundial en la categoría 250cc en 2006 y 2007 y tres veces monarca en MotoGP en los años 2010, 2012 y 2015', '3)xa0xa0xa0xa0Maverick Viñales.xa0Otro español está entre los grandes para ganar el Mundial que comenzará el domingo en Qatar. Se trata de Viñales quien nació en Figueras y los 24 años de edad suena fuerte como uno de los potenciales ganadores de la categoría reina. El motociclista logró el campeonato mundial de Moto3 en 2013', '4)xa0xa0xa0xa0Valentino Rossi.xa0El piloto italiano se ha convertido en un ícono mundial cuando de resistencia individual se habla en los deportes. El 16 de febrero cumplió 40 años de edad y en ese tiempo ha ganado nueve títulos mundiales en cuatro categorías: 125cc, 250cc, 500cc y es hexacampeón de la categoría MotoGP. Il Dottore, como es apodado por sus fanáticos, espera dar nuevamente la batalla', '5)xa0xa0xa0xa0Andrea Dovizioso.xa0Otro piloto italiano con posibilidades reales en la parrilla de 2019. Fue campeón de la categoría 125cc en 2004 y subcampeón en 250cc en los años 2006 y 2007. El nativo de Forlimpopoli, de 32 años de edad, espera dar el salto de calidad conxa0la Ducati.xa0“Estoy convencido que estaremos listos para jugarnos nuestras cartas desde la primera carrera', afirmó', '6)xa0xa0xa0xa0Danilo Petrucci.xa0El piloto de Ducati, de 28 años de edad, nació en Terni, Italia, el 24 de octubre de 1990. “Este equipo me ha hecho creer más en mis posibilidades. Espero luchar por las cinco primeras posiciones. Terminé quinto aquí el año pasado y quiero mejorarlo”, dijo el piloto que sabe que no puede permitirse errores porque puede quedar fuera de la escudería'];2.1;07/03/2019;2019-03-66T02:00:00-0400;273761;http://en-cdnmed.agilecontent.com//resources/jpg/4/4/1551978748344.jpg;Moto GP, Deportes;EN;Motores;El domingo en Qatar comenzará una nueva temporada del Mundial de Motociclismo. En este trabajo presentamos a los candidatos al título;Seis candidatos para ganar el Mundial de MotoGP;http://www.el-nacional.com/noticias/motores/seis-candidatos-para-ganar-mundial-motogp_273761
6;EL NACIONAL;['Robertxa0Menéndez, senador de Estados Unidos, indicó que distintos representantes internacionales trabajarán para entregar la ayuda humanitaria que necesitan los venezolanos.', ''Vamos a trabajar con los países de la región para entregar la ayuda humanitaria tan necesaria y apoyo con firmeza la presión económica para aplicar sanciones necesarias y así lograr una solución', aseguró el diplomático durante su intervención en el Senado.', 'Reiteró su mensaje a lasxa0Fuerzas Armadas de Venezuela (FAN) para asumir el marco constitucional del país. ”Si quieren futuro en Venezuela y si quieren un futuro libre de sanciones, deben reconocer al presidente Juan Guaidó”.', 'Este jueves se lleva a cabo una audiencia del Senado sobre las relaciones entre Estados Unidos y Venezuela y el camino hacia una transición democrática.'];2.1;07/03/2019;2019-03-66T01:46:00-0400;273757;http://en-cdnmed.agilecontent.com//resources/jpg/2/0/1551981173402.jpg;Política, Estados Unidos;EN;Mundo;El diplomático estadounidense su mensaje a las Fuerzas Armadas de Venezuela (FAN) para asumir el marco constitucional del país;Menéndez: Trabajaremos con la región para el ingreso de insumos a Venezuela;http://www.el-nacional.com/noticias/mundo/menendez-trabajaremos-con-region-para-ingreso-insumos-venezuela_273757
7;AP;['Londres.- Las negociaciones con la Unión Europea (UE) para el Brexit continuarán durante el fin de semana, mientras el Reino Unido intenta lograr cambios en su acuerdo de divorcio con Bruselas antes de una votación parlamentaria la próxima semana, dijo el fiscal general británico.', 'La UE afirmó por su parte que las “difíciles” conversaciones no han logrado avances porque las propuestas británicas no son realistas, indicó AP.', 'Pero el fiscal general, Geoffrey Cox, señaló el jueves que las 'discusiones centradas, detalladas y cuidadosas” se reanudarán “en breve”.', 'Está previsto que el Reino Unido abandone el bloque el próximo 29 de marzo, pero su parlamento rechazó el acuerdo de salida forjado entre Londres y Bruselas.', 'La primera ministra Theresa May está tratando de conseguir modificaciones, pero la UE insiste en que no reabrirá el documento, que es legalmente vinculante.', 'La Cámara de los Comunes votará de nuevo el pacto el martes. Si sale rechazado, los legisladores podrían intentar demorar el Brexit.'];2.1;07/03/2019;07/03/2019 11:00 pm;34995;http://mmedia.eluniversal.com/17962/el-procurador-general-del-reino-unido-geoffrey-cox-19244.jpg;NO_TIENE;EU;internacional;La Unión Europea afirmó por su parte que las “difíciles” conversaciones no han logrado avances porque las propuestas británicas no son realistas;Londres insiste en el diálogo del Brexit seguirá pese a pesimismo UE;http://www.eluniversal.com/internacional/34995/londres-insiste-en-el-dialogo-del-brexit-seguira-pese-a-pesimismo-ue
8;AVN;['Caracas.- El Ministro para la Defensa, Vladimir Padrino López, entregó este jueves condecoraciones a integrantes del Componente Naval y la Aviación Militar de la Fuerza Armada Nacional Bolivariana (FANB) por su labor en 'la defensa de la soberanía nacional' en los espacios acuáticos el pasado 22 y 23 de febrero.', '“Hemos venido trabajando para que la Fuerza Armada Nacional Bolivariana siga dando la cara por Venezuela, por la independencia, por la libertad. Felicitaciones en nombre del presidente Nicolás Maduro por su lealtad y convicción de tener una patria libre”, resaltó el general.', 'Desde la Base Naval 'CA. Agustín Armario' de Puerto Cabello, estado Carabobo, el ministro otorgó a la Armada la réplica del Sable del 'GJ Rafael Urdaneta' como representación del 'honor, el decoro, el sacrificio y la irrestricta lealtad a la patria', reseñó AVN.', 'Además señaló que pese al bloqueo económico que según el Gobierno, Estados Unidos (EEUU) realiza contra Venezuela, la FANB continuará con su labor de respaldar la libertad del país.', '“No nos estamos quedando con los brazos cruzados, en la Fuerza Armada vamos a potenciar el escuadrón de submarinos, el sistema de radares de los buques, nos mantendremos operativos”, sentenció.', 'En el acto también estuvieron presentes el Comandante Estratégico Operacional de la Fanb (Ceofanb), Remigio Ceballo, el comandante general de la Armada Nacional Bolivariana, Giuseppe Alessandrello, así como varios oficiales.'];1.2;07/03/2019;07/03/2019 02:16 pm;35019;http://mmedia.eluniversal.com/17904/vladimir-padrino-lopez-14897.jpg;NO_TIENE;EU;politica;El Ministro para la Defensa señaló que pese al bloqueo económico que según el Gobierno, EEUU realiza contra Venezuela, la FANB continuará con su labor de 'respaldar la libertad del país';Padrino López entregó condecoraciones a personal militar por defensa del territorio nacional;http://www.eluniversal.com/politica/35019/padrino-lopez-entrego-condecoraciones-a-personal-militar-por-defensa-del-territorio-nacional
9;ANA CAROLINA ARIAS;"['Nueva Esparta.-xa0La plataforma Unidos por la Salud de la isla Margarita avanza en el objetivo para el cual se unieron, como es organizar las necesidades en el estado ante una 'inminente' entrada de ayuda humanitaria, y en ese sentido trabajan en la fase 1 como lo ha establecido la Asamblea Nacional.', 'Germán Rojas Loyola, miembro de la plataforma y vocero de la Sociedad de Puericultura y Pediatría de Nueva Esparta, informó que los gremios médicos y organismos con trabajo en salud que conforman este grupo, determinan en campo los casos de desnutrición y personas con enfermedades crónicas, que en efecto serán la prioridad a atender con las acciones especiales que ha dispuesto el Parlamento.', 'Dijo que los niños desnutridos de cero a cinco años; las mujeres embarazadas, los adolescentes y personas de tercera edad en igual condición y además, en estado de abandono o dependencia, serán los atendidos en una primera fase porque son vidas en absoluto riesgo.', 'Destacó la 'ayuda urgente' que requieren las personas con padecimientos crónicos como hipertensión, diabetes, en tratamiento de diálisis y oncología, así como con detección positiva de Virus de Inmuno deficiencia Humano (VIH), ya que la situación de emergencia compleja médico asistencial eleva la vulnerabilidad de su salud.', 'Rojas informó que a la fecha Nueva Esparta no ha recibido ayuda foránea, y la crisis se sigue sobrellevando solo con el programa médico asistencial de la Gobernación de Nueva Esparta.', 'No obstante, lamentó que la red hospitalaria y ambulatoria de Nueva Esparta mantenga 'serias deficiencias' en su plan de alimentación para las personas hospitalizadas, por cuanto acelera el deterioro de los cientos de pacientes recluidos en estos espacios.', 'Plan de insumos', 'Efectivamente, en los últimos días el gobernador de la entidad, Alfredo Díaz, ha agilizado el programa de dotación de insumos médicos, registrando ya la cuarta 'Cruzada de la Salud' que lleva por municipio.', 'La planificación es atender 50 ambulatorios de Margarita y Coche, además de las entregas que ya se han hecho en el Hospital Luis Ortega de Porlamar, y centros de salud de los municipios Mariño y García.', 'Recalcó que el programa que ejecuta busca suplir las faltas en las que incurre el Gobierno nacional a través del Ministerio de Salud y demás instituciones del sector, con lo cual espera al menos ayudar a los más necesitados, pues afirma que es doloroso que los bonos que entrega el Gobierno además de ser excluyentes tienen que ser dispuestos por las familias para este tipo de urgencias porque no hay políticas que garanticen el derecho a la salud.']";2.1;07/03/2019;07/03/2019 01:51 pm;35010;http://mmedia.eluniversal.com/17962/gremios-de-la-salud-siguen-planificacion-por-fase-ayuda-humanitaria-para-nueva-esparta-19266.jpg;NO_TIENE;EU;venezuela;Casos de desnutrición en niños, adolescentes y ancianos, así como personas con enfermedades crónicas son prioridad;Gremios de la salud siguen planificación por fase de ayuda humanitaria para Nueva Esparta;http://www.eluniversal.com/venezuela/35010/gremios-de-la-salud-siguen-planificacion-por-fase-ayuda-humanitaria-para-nueva-esparta
