;autor;contenido;derecho;fecha;fechaPublicacion;idPeriodico;imagen;palabrasClaves;periodico;seccion;subtitular;titular;url
0;EL NACIONAL;['Juan Guaidó, presidente interino de Venezuela, indicó que las sanciones impuestas por Estados Unidos no incidieron en la crisis venezolana debido a que las medidas económicas fueron dirigidas a corruptos y violadores de derechos humanos.', ''Cualquier persona que asevere esas acusaciones no tiene información sobre cuándo empezaron y quéxa0significan las sanciones porque han sido contra corruptos y violadores de DD HH', expresó el mandatario luego de finalizada la sesión del Parlamento este miércoles.', 'Aseveró que en los últimos meses han estado trabajado en la visita de representantes internacionales para constatar la crisis que padece el país. 'Esperamos que cualquier comisión que visite Venezuela no venga con ningún tipo sesgo ideologico', agregó Guaidó.'];1.2;06/03/2019;2019-03-65T05:28:00-0400;273635;http://en-cdnmed.agilecontent.com//resources/jpg/3/7/1551475689673.jpg;Juan Guaidó, ONU;EN;Política;El mandatario interino indicó que en los últimos meses han estado trabajado en la visita de representantes internacionales para constatar la crisis que padece el país;Juan Guaidó sobre Bachelet: Sanciones de EE UU fueron dirigidas a corruptos;http://www.el-nacional.com/noticias/politica/juan-guaido-sobre-bachelet-sanciones-fueron-dirigidas-corruptos_273635
1;EL NACIONAL;['Marco Rubio, senador estadounidense por el estado de Florida, aseguró que los venezolanosxa0enfrentará en pocos días la más severa escasez de alimento y combustible por la crisis económica del país.', '“Las personas sufrientes de Venezuela ahora están a sólo unos días de la más severa escasez de alimentos y combustibles que la nación jamás haya enfrentado”, precisó el representante estadounidense en Twitter.', 'Rubio señaló que Nicolás Maduro es el responsable de esta catástrofe mientras que ha enviado a sus familias a vivir y viajar con lujos en el extranjero.', 'Mike Pence,xa0vicepresidente de los Estados Unidos,xa0anunció este miércoles que el Departamento de Estadoxa0revocará las visas a 77 oficiales a personas vinculadas a Nicolás Maduro y a sus familias.', ''Hoy, el Departamento de Estado anuncia que Estados Unidos va a revocar 77 visas, incluidas las de muchos funcionarios del régimen de Maduro y sus familias. Continuaremos haciendo rendir cuentas al régimen de Maduro hasta que la libertad se restablezca en Venezuela', dijo Pence en un discurso en Washington.'];2.1;06/03/2019;2019-03-65T04:52:00-0400;273631;http://en-cdnmed.agilecontent.com//resources/jpg/6/5/1551905337756.jpg;Estados Unidos, Escasez;EN;Mundo;El senador estadounidense señaló que Nicolás Maduro es el responsable de la catástrofe que padece el país ;Rubio: “Venezolanos vivirán la más severa escasez de alimentos y gasolina”;http://www.el-nacional.com/noticias/mundo/rubio-venezolanos-viviran-mas-severa-escasez-alimentos-gasolina_273631
2;EL NACIONAL;['Foro Penal presentó un informe en el que registra que más de 107 personas fueron detenidas arbitrariamente en febrero de este año, además de reportes de un número importante de personas desaparecidas.', 'Aseguran que siete personas fueron asesinadas en el estado Bolívar, entre ellas, cuatro de ellas pertenecían a la etnia indígena Pemón.', 'La ONG agregó que más de 58 personas resultaron heridas de bala, 43xa0de ellos fueron reportados en el estado Bolívar y 15 ciudadanos en San Antonio del Táchira. Los reportes también indican heridos por impactos de perdigones, bombas lacrimógenas, metras y heridos por arma blanca en varios estados del país.', 'El Foro Penal denunció que actualmente se continúan realizando arremetidas y persecución deliberada por parte de los cuerpos de seguridad en los estados fronterizos como en el municipio Gran Sabana del Estado Bolívar, territorio en el cualxa0existe una situación de emergencia.', ''Muchos miembros de la etnia indígena Pemón han huido de sus casas y en vista del cierre de la frontera con Brasil, viéndose obligados a caminar por días, con niños y ancianos, a través de trochas o caminos informales a los efectos de resguardar sus vidas en ciudades brasileñas', reza el comunicado.', 'Lea el informe completoxa0aquí'];1.1;06/03/2019;2019-03-65T04:43:00-0400;273630;http://en-cdnmed.agilecontent.com//resources/jpg/7/8/1551903957487.jpg;Nicolás Maduro, Protestas;EN;Sociedad;La ONG denunció que actualmente se continúan realizando arremetidas y persecución deliberada por parte de los cuerpos de seguridad en los estados fronterizos como en el municipio Gran Sabana del Estado Bolívar;Foro Penal registró 7 muertos y 58 heridos de bala en protestas de febrero;http://www.el-nacional.com/noticias/sociedad/foro-penal-registro-muertos-heridos-bala-protestas-febrero_273630
3;EL NACIONAL;['La Asamblea Nacional exigió en la sesión de este miércoles la apertura inmediata de los pasos fronterizos con Colombia, los cuales se encuentran cerrados desde el 23 de febrero cuando se intentó ingresar la ayuda humanitaria.', 'Karim Vera, diputada por el estado Táchira, denunció que los ciudadanos dexa0ese estado han sido vilmente maltratado por funcionarios de Nicolás Maduro. 'Hoy los niños del municipio Pedro María Ureña acudieron al puente Francisco de Paula Santander, con sus representantes, y lo que recibieron fue represión”. “Hay venezolanos que están del otro lado que no han podido regresar por culpa del cierre, cientos de venezolanos acuden a los puentes internacionales a pedir que se les permita el paso para comprar medicamentos, para recibir remesas”, explicó la parlamentaria.', 'Carlos Valero, diputado a la AN, precisó que niños han sido reprimidos por exigir su derecho a estudiar en el lado colombiano.xa0“Hay venezolanos que están del otro lado que no han podido regresar por culpa del cierre, cientos de venezolanos acuden a los puentes internacionales a pedir que se les permita el paso para comprar medicamentos, para recibir remesas”, señaló.', '“Han prolongado el cierre de la frontera convirtiendo los pasos en lugares donde se está negando el derecho a la vida, a la educación, hay más de seis mil niños que viven en Ureña y San Antonio pero que estudian en Cúcuta”, agregó Valero.'];1.2;06/03/2019;2019-03-65T04:35:00-0400;273625;http://en-cdnmed.agilecontent.com//resources/jpg/4/1/1551284341214.jpg;Colombia, Frontera;EN;Asamblea Nacional;Karim Vera, diputada por el estado Táchira, denunció que los ciudadanos de ese estado ha sido vilmente maltratado por funcionarios de Nicolás Maduro;Asamblea Nacional exigió reabrir los pasos fronterizos con Colombia;http://www.el-nacional.com/noticias/asamblea-nacional/asamblea-nacional-exigio-reabrir-los-pasos-fronterizos-con-colombia_273625
4;GDA | EL NUEVO DÍA | PUERTO RICO;['A sus 21 años de edad, la empresaria y socialité estadounidense Kylie Jenner se convirtió en la multimillonaria más joven del mundo, de acuerdo a la revistaxa0Forbes.', 'Forbes estimó que la menor de las hermanas Kardashian-Jenner tiene una fortuna dexa0un billón de dólares,xa0lo que hace que la empresaria ocupe el primer lugar de los jóvenes millonarios (no herederos).', 'Su popularidad y presencia en las redes sociales fueron determinantes en el ascenso de su marca Kylie Cosmetics.', 'De acuerdo conxa0Forbes, Kylie Cosmetics vale aproximadamente 900.000.000 de dólares y si se le suma el dinero que tiene en efectivo, la socialité tiene una fortuna de un billón de dólares.', 'La hermana menor de Kim Kardashian está de esa forma superando al fundador de la red social de Facebook, Mark Zuckerberg, que cuando tenía 23 años alcanzó esa marca.', 'Solo el año pasado, las ventas de la gurú de maquillaje aumentaron 9%, por lo que obtuvo ganancias de alrededor de 366.000.000 de dólares.', '“Aparecí en algunas tiendas, manejé mis redes sociales, hice lo que normalmente hago y simplemente funcionó”, dijo Jenner axa0Forbes.'];1.1;06/03/2019;2019-03-65T04:27:00-0400;273629;http://en-cdnmed.agilecontent.com//resources/jpg/6/3/1532637394836.jpg;Entretenimiento;EN;Entretenimiento;La empresaria estadounidense tiene una fortuna equivalente a un billón de dólares;Kylie Jenner es la multimillonaria más joven de la historia;http://www.el-nacional.com/noticias/entretenimiento/kylie-jenner-multimillonaria-mas-joven-historia_273629
5;El Nacional;['Carlos Vecchio, embajador de Venezuela ante Estados Unidos, agradeció al gobierno de Donald Trump su compromiso con el país.', ''Agradecemos permanente compromiso de gobierno de EE UU con el cese de la usurpación y la restauración de la democracia y la libertad de Venezuela', escribió Vecchio en Twitter.', 'El embajador resaltó que Estados Unidos revocará las visas de 77 personas vinculadas a Nicolás Maduro y sus familias.', ''Hoy, el Departamento de Estado anuncia que Estados Unidos va a revocar 77 visas, incluidas las de muchos funcionarios del régimen de Maduro y sus familias. Continuaremos haciendo rendir cuentas al régimen de Maduro hasta que la libertad se restablezca en Venezuela', dijo Pence.'];1.2;06/03/2019;2019-03-65T04:24:00-0400;273623;http://en-cdnmed.agilecontent.com//resources/jpg/2/2/1551902547522.jpg;Donald Trump, Estados Unidos, Carlos Vecchio, Mike Pence;EN;Política;El diplomático venezolano destacó que el gobierno estadounidense revocará visas a 77 personas vinculadas a Nicolás Maduro ;Vecchio agradeció a Estados Unidos su compromiso con Venezuela;http://www.el-nacional.com/noticias/politica/vecchio-agradecio-estados-unidos-compromiso-con-venezuela_273623
6;EL NACIONAL;['La influencer venezolana Daniela Barranco inició oficialmente su carrera como cantante con su tema promocional “Shot”.', '“Me preparé en un colegio musical, el Emil Friedman, donde estudié canto desde que estaba primer grado hasta que cumplí 16 años. Nunca me imaginé hacer una carrera de ello, pero ahora que tengo la plataforma y es algo que me apasiona muchísimo, quiero compartirlo con las personas que me siguen”, dijo la artista.', 'La canción fue escrita por Rafael “Neneto” Salcedo, Omar Koonze y la influencer. El tema estuvo bajo la producción de Rafael Salcedo. “Shot” es una canción que habla sobre una “relación tóxica”.', 'El nuevo sencillo de la artista se encuentra disponible en todas las plataformas digitales y es transmitido por las emisoras radiales en el país.', 'Con información de nota de prensa'];2.1;06/03/2019;2019-03-65T04:15:00-0400;273626;http://en-cdnmed.agilecontent.com//resources/jpg/5/1/1551903660915.jpg;Entretenimiento, Música;EN;Música;La influencer indicó que el tema habla sobre una “relación tóxica”;Daniela Barranco estrenó “Shot”, su primer tema promocional;http://www.el-nacional.com/noticias/musica/daniela-barranco-estreno-shot-primer-tema-promocional_273626
7;AFP;['Buenos Aires.-Maestros y profesores de Argentina comenzaron el miércoles una huelga nacional de tres días con una multitudinaria marcha hacia la Plaza de Mayo de Buenos Aires, donde', ''A los maestros no les alcanza la plata para vivir', denunció durante la manifestación la líder del sindicato nacional de educadores, Sonia Alesso. nnEl paro de docentes dejó sin clases a seis de cada diez alumnos, según estadísticas gremiales y de autoridades escolares, informó AFP.', 'En seis de los 24 distritos en que se divide el país la huelga no se cumplió por un acuerdo de los gremios con los gobiernos provinciales para otorgar a los maestros un ajuste de sueldos.xa0La reacción del gobierno en la provincia de Buenos Aires, la mayor del país con casi un 40% de la población total de 44 millones, fue anunciar que descontará los salarios de los días de huelga.', ''Argentina ha sido ejemplo del sistema educativo público y sostenemos como docentes no solamente el reclamo salarial, sino la defensa del sistema y la de los chicos a acceder a la educación', dijo a la AFP el docente Abel Antivero, de 38 años.', 'Las columnas de manifestantes se desplegaron por más 400 metros sobre la céntrica Avenida de Mayo, que desemboca en la plaza. nnEl poder adquisitivo de los educadores mengua desde 2018, ya que aunque sus salarios aumentaron un 32%, la inflación anual superó el 47%.', 'Las consultoras privadas estiman que el alza de precios para el primer trimestre de 2019 será del 10%.xa0El gobierno está empeñado en un plan de severo ajuste presupuestario que empujó al país a la recesión, a cambio de recibir ayuda crediticia del Fondo Monetario Internacional (FMI).', ''Vamos a seguir en la calle con movilizaciones, con asambleas, con clases públicas para que el gobierno escuche a los profesores que estamos pidiendo condiciones más dignas de trabajo', dijo a la AFP Leandro Pozzi, un maestro de 40 años.', ''El gobierno del presidente Mauricio Macri se maneja con los docentes como si fuera un patrón de una estancia agrícola que ignora sus necesidades mínimas de subsistencia', agregó Alesso, quien fue la principal oradora en el palco montado de espaldas a la casa de gobierno.', ''Habría que preguntarle a los del gobierno cuánto creen que tiene que ganar un maestro para ellos, porque el ajuste en educación es brutal', apuntó Alesso en su discurso.', 'La canasta escolar medida por el oficial Indec registra un aumento de 229% en los últimos tres años. El salario mínimo subió un 106% en igual período, según la consultora privada Centro de Economía Política de Argentina.'];2.3;06/03/2019;06/03/2019 06:00 pm;34935;http://mmedia.eluniversal.com/17961/argentina-escuela-profesores-manifestaciones-inflacion-gobierno-19211.jpg;NO_TIENE;EU;internacional;El gremio de Docentes, le exige al gobierno de Mauricio Macri, ajustes salariales acordes a la inflación que superó el 47% el pasado año, y que proyecta un duro año para la economía Argentina;Miles de maestros marchan por salarios en huelga de tres días en Argentina;http://www.eluniversal.com/internacional/34935/miles-de-maestros-marchan-por-salarios-en-huelga-de-tres-dias-en-argentina
8;AFP;['Los Angeles.- Los Warriors de Golden State anunciaron este miércoles el fichaje -de cara a los playoffs de la NBA- del pívot australiano Andrew Bogut, quien ya ganó el campeonato estadounidense con los de Oakland en 2015.', 'El centro de 34 años jugaba con los Kings de Sydney de su país, luego de brillar con los Warriors entre 2012 y 2016, cuando formó parte del equipo que firmó el récord de 73 victorias en temporada regular, antes de caer en las Finales ante los Cavaliers de Cleveland de LeBron James.', 'El australiano, seleccionado con el número uno del Draft de 2005 por los Bucks de Milwaukee, dejó la NBA en enero de 2018, cuando vestía la casaca de los Lakers.', 'Ya en su país, fue elegido recientemente Jugador Más Valioso y Mejor Defensor con promedios de 11,4 puntos, 11,6 rebotes, 3,4 asistencias y 2,7 tapones en 29,7 minutos, reseñó AFP.'];2.8;06/03/2019;06/03/2019 05:31 pm;34951;http://mmedia.eluniversal.com/17961/bogut-19219.jpg;NO_TIENE;EU;deportes;El pivot australiano reforzará los tableros del equipo de Oakland;Andrew Bogut regresa con los Warriors de Golden State;http://www.eluniversal.com/deportes/34951/andrew-bogut-regresa-con-los-warriors-de-golden-state
9;AP;['Los Ángeles.-xa0El receptor de los Reales de Kansas City, el venezolano Salvador Pérez, se sometió a la cirugía de Tommy John este miércoles para reparar un ligamento desgarrado en el codo derecho, un procedimiento que dejará en suspenso al seis veces All-Star en la próxima temporada.', 'La cirugía fue realizada en Los Ángeles por el Dr. Neal ElAttrache, el médico de los Dodgers, reseñó AP.', 'El tiempo de recuperación suele ser de aproximadamente un año, lo que significa que Pérez podría regresar para el día de la apertura de la próxima temporada.', 'Salvador Pérez se lastimó el codo durante los ejercicios del miércoles pasado, y al día siguiente informó al entrenador de los Reales Nick Kenney sobre el dolor que padecía. Fue sometido a un examen de resonancia magnética que reveló la lesión.', 'Pérez luego se dirigió el martes a Los Ángeles para una segunda opinión que confirmó el alcance de la lesión.', 'Se espera que Cam Gallagher y Meibrys Viloria reemplacen a Pérez esta temporada, aunque los Reales también están probando al primera base Frank Schwindel detrás del plato.', 'El prospecto promocionado tiene gran experiencia en la universidad y al principio de su carrera en las ligas menores.'];2.1;06/03/2019;06/03/2019 05:13 pm;34946;http://mmedia.eluniversal.com/17961/salvador-perez-19217.jpg;NO_TIENE;EU;deportes;El receptor venezolano de los Reales de Kansas City perderá la temporada de este 2019;Operan con éxito en Los Ángeles a Salvador Pérez;http://www.eluniversal.com/deportes/34946/operan-con-exito-en-los-angeles-a-salvador-perez
